tunisianet_scrapy_persist.reference_global,tunisianet_scrapy_persist.reference_detail,tunisianet_scrapy_persist.ad_title,tunisianet_scrapy_persist.ad_url,tunisianet_scrapy_persist.marque,tunisianet_scrapy_persist.modele,tunisianet_scrapy_persist.ram,tunisianet_scrapy_persist.stockage,tunisianet_scrapy_persist.couleur,tunisianet_scrapy_persist.options,tunisianet_scrapy_persist.shop,tunisianet_scrapy_persist.ad_stocks,tunisianet_scrapy_persist.ad_price,tunisianet_scrapy_persist.date_scrapy
samsung-galaxya54,samsung-galaxya54-6go-128gb-white,Smartphone Samsung Galaxy A54 / 6 Go / 128 Go / Blanc + Adaptateur Samsung 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/64499-smartphone-samsung-galaxy-a54-6-go-128-go-blanc.html,samsung,galaxy a54,6go,128gb,white,adaptateur samsung 25w offert,tunisianet,INSTOCK,1799.0,28/01/2024
apple-iphone12,apple-iphone12-64gb-black,Téléphone Portable Apple IPhone 12 / 64 Go / Noir + EarPods avec connecteur Lightning Offert,https://www.tunisianet.com.tn/smartphone-tunisie/48077-telephone-portable-apple-iphone-12-64-go-noir-earpods-avec-connecteur-lightning-offert.html,apple,iphone 12,,64gb,black,earpods avec connecteur lightning offert,tunisianet,INSTOCK,1899.0,28/01/2024
benco-y113g,benco-y113g-1go-32gb-blue,Smartphone BENCO Y11 / 3G / 1 Go / 32 Go / Double SIM / Blue,https://www.tunisianet.com.tn/smartphone-tunisie/66222-smartphone-benco-y11-3g-1-go-32-go-double-sim-blue.html,benco,y11 3g,1go,32gb,blue,double sim,tunisianet,INSTOCK,149.0,28/01/2024
xiaomi-redminote12s,xiaomi-redminote12s-8go-256gb-blue,SMARTPHONE XIAOMI Redmi Note 12S / 8 GO / 256 GO / Blue,https://www.tunisianet.com.tn/smartphone-tunisie/64605-smartphone-xiaomi-redmi-note-12s-8-go-256-go-blue.html,xiaomi,redmi note 12s,8go,256gb,blue,,tunisianet,INSTOCK,899.0,28/01/2024
samsung-galaxya05,samsung-galaxya05-4go-64gb-green,Smartphone Samsung Galaxy A05 / 4 Go / 64 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/72217-smartphone-samsung-galaxy-a05-4-go-64-go-vert.html,samsung,galaxy a05,4go,64gb,green,,tunisianet,INSTOCK,399.0,28/01/2024
itel-a70,itel-a70-4go-64gb-blue,Smartphone Itel A70 / 4 Go / 64 GO / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/70953-smartphone-itel-a70-4-go-64-go-blue.html,itel,a70,4go,64gb,blue,,tunisianet,INSTOCK,297.0,28/01/2024
itel-a70,itel-a70-4go-256gb-blue,Smartphone Itel A70 / 4 Go / 256 GO / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/70957-smartphone-itel-a70-4-go-256-go-noir.html,itel,a70,4go,256gb,blue,,tunisianet,INSTOCK,348.0,28/01/2024
samsung-galaxya05,samsung-galaxya05-4go-64gb-black,Smartphone Samsung Galaxy A05 / 4 Go / 64 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/72213-smartphone-samsung-galaxy-a05-4-go-64-go-noir.html,samsung,galaxy a05,4go,64gb,black,,tunisianet,ONDEMAND,399.0,28/01/2024
tcl-4034g,tcl-4034g-2go-32gb-black,Smartphone TCL 403 / 4G  / 2 Go / 32 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/64044-smartphone-tcl-403-4g-2-go-32-go-noir.html,tcl,403 4g,2go,32gb,black,,tunisianet,INSTOCK,279.0,28/01/2024
samsung-galaxya14,samsung-galaxya14-4go-64gb-black,Smartphone Samsung Galaxy A14 / 4 Go / 64 Go / Noir + Adaptateur Samsung Charge Rapide 25W  Offert,https://www.tunisianet.com.tn/smartphone-tunisie/62986-smartphone-samsung-galaxy-a14-4-go-64-go-noir.html,samsung,galaxy a14,4go,64gb,black,adaptateur samsung charge rapide 25w offert,tunisianet,INSTOCK,599.0,28/01/2024
