reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
xiaomi-redmi13c,xiaomi-redmi13c-8go-256gb,XIAOMI REDMI 13C (8+256GO),https://www.ooredoo.tn/Personal/fr/accueil/1845-2578-portable-xiaomi-redmi-13c-8256go.html#/56-couleur-vert,xiaomi,redmi 13c,8go,256gb,,,ooredooshop,INSTOCK,599.000,2024-06-13
xiaomi-redmi13c,xiaomi-redmi13c-6go-128gb,XIAOMI REDMI 13C (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1848-2575-portable-xiaomi-redmi-13c-6128go.html#/73-couleur-noir,xiaomi,redmi 13c,6go,128gb,,,ooredooshop,INSTOCK,529.000,2024-06-13
infinix-hot40i,infinix-hot40i-8go-256gb,INFINIX HOT40I (8+256),https://www.ooredoo.tn/Personal/fr/accueil/1860-2620-portable-infinix-hot40i-8256.html#/49-couleur-blanc_dore,infinix,hot40i,8go,256gb,,,ooredooshop,INSTOCK,529.000,2024-06-13
infinix-hot40i,infinix-hot40i-8go-128gb,INFINIX HOT40I (8+128),https://www.ooredoo.tn/Personal/fr/accueil/1857-2614-portable-infinix-hot40i-8128.html#/14-couleur-bleu,infinix,hot40i,8go,128gb,,,ooredooshop,INSTOCK,479.000,2024-06-13
infinix-hot40,infinix-hot40-8go-256gb,INFINIX HOT40  (8+256 GO)+GB,https://www.ooredoo.tn/Personal/fr/accueil/1854-2611-portable-infinix-hot40-8256-gogb.html#/73-couleur-noir,infinix,hot40,8go,256gb,,gb,ooredooshop,INSTOCK,619.000,2024-06-13
realme-c53,realme-c53-8go-256gb,REALME C53 (8+256 GO),https://www.ooredoo.tn/Personal/fr/accueil/1833-2593-portable-realme-c53-8256-go.html#/73-couleur-noir,realme,c53,8go,256gb,,,ooredooshop,INSTOCK,669.000,2024-06-13
xiaomi-redminote12s,xiaomi-redminote12s,XIAOMI REDMI NOTE 12S...,https://www.ooredoo.tn/Personal/fr/accueil/1331-2382-portable-xiaomi-redmi-note-12s-8256go-tunisie.html#/14-couleur-bleu,xiaomi,redmi note 12s,,,,,ooredooshop,INSTOCK,1079.000,2024-06-13
tecno-sparkgo,tecno-sparkgo,Tecno Spark Go,https://www.ooredoo.tn/Personal/fr/accueil/828-1239-portable-tecno-spark-go-tunisie.html#/50-couleur-bleu,tecno,spark go,,,,,ooredooshop,INSTOCK,289.000,2024-06-13
samsung-a03,samsung-a03-4go-64gb,SAMSUNG A03 4/64,https://www.ooredoo.tn/Personal/fr/accueil/992-1511-portable-samsung-galaxy-a03-ooredoo-tunisie.html#/73-couleur-noir,samsung,a03,4go,64gb,,,ooredooshop,INSTOCK,489.000,2024-06-13
apple-iphone13,apple-iphone13,iPhone 13,https://www.ooredoo.tn/Personal/fr/accueil/545-925-portable-iphone-13-128go.html#/11-couleur-noir,apple,iphone 13,,,,,ooredooshop,INSTOCK,4719.000,2024-06-13
apple-iphone15promax,apple-iphone15promax-256gb,IPHONE 15 PRO MAX 256GB,https://www.ooredoo.tn/Personal/fr/accueil/1779-2491-portable-iphone-15-pro-max-256gb.html#/52-couleur-blanc,apple,iphone 15 pro max,,256gb,,,ooredooshop,INSTOCK,7719.000,2024-06-13
