reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
oppo-reno11f5g,oppo-reno11f5g-8go-256gb-green,Smartphone OPPO Reno11 F 5G 8Go 256Go - Vert Palmier ,https://www.mytek.tn/smartphone-oppo-reno11-f-5g-8go-256go-vert-palmier.html,oppo,reno11 f 5g,8go,256gb,green,palmier,mytek,INSTOCK,1399.000,2024-06-13
xiaomi-redminote13pro,xiaomi-redminote13pro-12go-512gb-forestgreen,Smartphone XIAOMI Redmi Note 13 Pro 12Go 512Go - Vert Forêt ,https://www.mytek.tn/smartphone-xiaomi-redmi-note-13-pro-12go-512go-vert-foret.html,xiaomi,redmi note 13 pro,12go,512gb,forest green,,mytek,INSTOCK,1399.000,2024-06-13
xiaomi-redminote13pro,xiaomi-redminote13pro-12go-512gb-violet,Smartphone XIAOMI Redmi Note 13 Pro 12Go 512Go - Violet,https://www.mytek.tn/smartphone-xiaomi-redmi-note-13-pro-12go-512go-violet.html,xiaomi,redmi note 13 pro,12go,512gb,violet,,mytek,INSTOCK,1399.000,2024-06-13
samsung-galaxya255g,samsung-galaxya255g-8go-256gb-yellow,Smartphone SAMSUNG Galaxy A25 5G 8Go 256Go - Jaune,https://www.mytek.tn/smartphone-samsung-galaxy-a25-5g-8go-256go-jaune.html,samsung,galaxy a25 5g,8go,256gb,yellow,,mytek,INSTOCK,1399.000,2024-06-13
samsung-galaxya255g,samsung-galaxya255g-8go-256gb-black&blue,Smartphone SAMSUNG Galaxy A25 5G 8Go 256Go Bleu - Noir ,https://www.mytek.tn/smartphone-samsung-galaxy-a25-5g-8go-256go-bleu-noir.html,samsung,galaxy a25 5g,8go,256gb,black&blue,,mytek,INSTOCK,1399.000,2024-06-13
samsung-galaxya255g,samsung-galaxya255g-8go-256gb-blue,Smartphone SAMSUNG Galaxy A25 5G 8Go 256Go Bleu - Clair ,https://www.mytek.tn/smartphone-samsung-galaxy-a25-5g-8go-256go-bleu.html,samsung,galaxy a25 5g,8go,256gb,blue,clair,mytek,INSTOCK,1399.000,2024-06-13
xiaomi-redminote13pro,xiaomi-redminote13pro-12go-512gb-black,Smartphone XIAOMI Redmi Note 13 Pro 12Go 512Go - Noir,https://www.mytek.tn/smartphone-xiaomi-redmi-note-13-pro-12go-512go-noir.html,xiaomi,redmi note 13 pro,12go,512gb,black,,mytek,INSTOCK,1399.000,2024-06-13
oppo-reno74g,oppo-reno74g-8go-256gb-black,Smartphone OPPO Reno7 4G 8Go 256Go Noir + Abonnement Global 12 Mois,https://www.mytek.tn/smartphone-oppo-reno7-4g-8go-256go-noir.html,oppo,reno7 4g,8go,256gb,black,abonnement global 12 mois,mytek,INSTOCK,1449.000,2024-06-13
oppo-reno74g,oppo-reno74g-8go-256gb-orange,Smartphone OPPO Reno7 4G 8Go 256Go Orangé + Abonnement Global 12Mois,https://www.mytek.tn/smartphone-oppo-reno7-8go-256go-orange.html,oppo,reno7 4g,8go,256gb,orange,abonnement global 12mois,mytek,INSTOCK,1449.000,2024-06-13
samsung-galaxya345g,samsung-galaxya345g-8go-128gb-limegreen,Smartphone SAMSUNG GALAXY A34 5G 8Go 128Go - Vert Lime ,https://www.mytek.tn/smartphone-samsung-galaxy-a34-5g-8go-128go-vert-lime.html,samsung,galaxy a34 5g,8go,128gb,lime green,,mytek,INSTOCK,1449.000,2024-06-13
honor-x9b5g,honor-x9b5g-12go-256gb-orange,Smartphone HONOR X9B 5G 12Go 256Go - Orange ,https://www.mytek.tn/smartphone-honor-x9b-5g-12go-256go-orange.html,honor,x9b 5g,12go,256gb,orange,,mytek,INSTOCK,1479.000,2024-06-13
honor-x9b5g,honor-x9b5g-12go-256gb-green,Smartphone HONOR X9B 5G 12Go 256Go - Vert ,https://www.mytek.tn/smartphone-honor-x9b-5g-12go-256go-vert.html,honor,x9b 5g,12go,256gb,green,,mytek,INSTOCK,1479.000,2024-06-13
honor-x9b5g,honor-x9b5g-12go-256gb-black,Smartphone HONOR X9B 5G 12Go 256Go - Noir ,https://www.mytek.tn/smartphone-honor-x9b-5g-12go-256go-noir.html,honor,x9b 5g,12go,256gb,black,,mytek,INSTOCK,1479.000,2024-06-13
samsung-galaxya355g,samsung-galaxya355g-8go-128gb,Smartphone SAMSUNG GALAXY A35 5G 8Go 128Go - Lime,https://www.mytek.tn/smartphone-samsung-galaxy-a35-5g-8go-128go-lime.html,samsung,galaxy a35 5g,8go,128gb,,lime,mytek,INSTOCK,1499.000,2024-06-13
samsung-galaxya355g,samsung-galaxya355g-8go-128gb-blue,Smartphone SAMSUNG GALAXY A35 5G 8Go 128Go - Bleu Nuit,https://www.mytek.tn/smartphone-samsung-galaxy-a35-5g-8go-128go-bleu-nuit.html,samsung,galaxy a35 5g,8go,128gb,blue,nuit,mytek,INSTOCK,1499.000,2024-06-13
samsung-galaxya355g,samsung-galaxya355g-8go-128gb,Smartphone SAMSUNG GALAXY A35 5G 8Go 128Go - Lilas,https://www.mytek.tn/smartphone-samsung-galaxy-a35-5g-8go-128go-lilas.html,samsung,galaxy a35 5g,8go,128gb,,lilas,mytek,INSTOCK,1499.000,2024-06-13
samsung-galaxya355g,samsung-galaxya355g-8go-128gb-blue,Smartphone SAMSUNG GALAXY A35 5G 8Go 128Go - Bleu Glacier,https://www.mytek.tn/smartphone-samsung-galaxy-a35-5g-8go-128go-bleu-glacier.html,samsung,galaxy a35 5g,8go,128gb,blue,glacier,mytek,INSTOCK,1499.000,2024-06-13
vivo-v305g,vivo-v305g-12go-256gb-black,Smartphone VIVO V30 5G 12Go 256Go - Noir,https://www.mytek.tn/smartphone-vivo-v30-5g-12go-256go-noir.html,vivo,v30 5g,12go,256gb,black,,mytek,INSTOCK,1599.000,2024-06-13
vivo-v305g,vivo-v305g-12go-256gb-green,Smartphone VIVO V30 5G 12Go 256Go - Vert,https://www.mytek.tn/smartphone-vivo-v30-5g-12go-256go-vert.html,vivo,v30 5g,12go,256gb,green,,mytek,INSTOCK,1599.000,2024-06-13
vivo-v295g,vivo-v295g-12go-256gb-black,Smartphone VIVO V29 5G 12Go 256Go Noir + Abonnement 12 Mois,https://www.mytek.tn/smartphone-vivo-v29-5g-12go-256go-noir.html,vivo,v29 5g,12go,256gb,black,abonnement 12 mois,mytek,INSTOCK,1599.000,2024-06-13
oppo-reno8t5g,oppo-reno8t5g-8go-256gb-black,Smartphone OPPO Reno8 T 5G 8Go 256Go Noir + Abonnement 12 Mois,https://www.mytek.tn/smartphone-oppo-reno8-t-5g-8go-256go-noir.html,oppo,reno8 t 5g,8go,256gb,black,abonnement 12 mois,mytek,INSTOCK,1599.000,2024-06-13
xiaomi-redminote13pro5g,xiaomi-redminote13pro5g-8go-256gb-violet,Smartphone XIAOMI Redmi Note 13 Pro+ 5G 8Go 256Go - Violet,https://www.mytek.tn/smartphone-xiaomi-redmi-note-13-pro-plus-5g-8go-256go-violet.html,xiaomi,redmi note 13 pro 5g,8go,256gb,violet,,mytek,INSTOCK,1669.000,2024-06-13
xiaomi-redminote13pro5g,xiaomi-redminote13pro5g-8go-256gb-white,Smartphone XIAOMI Redmi Note 13 Pro+ 5G 8Go 256Go - Blanc,https://www.mytek.tn/smartphone-xiaomi-redmi-note-13-pro-plus-5g-8go-256go-blanc.html,xiaomi,redmi note 13 pro 5g,8go,256gb,white,,mytek,INSTOCK,1669.000,2024-06-13
xiaomi-redminote13pro5g,xiaomi-redminote13pro5g-8go-256gb-black,Smartphone XIAOMI Redmi Note 13 Pro+ 5G 8Go 256Go - Noir,https://www.mytek.tn/smartphone-xiaomi-redmi-note-13-pro-plus-5g-8go-256go-noir.html,xiaomi,redmi note 13 pro 5g,8go,256gb,black,,mytek,INSTOCK,1669.000,2024-06-13
samsung-galaxya545g,samsung-galaxya545g-8go-128gb-white,Smartphone SAMSUNG GALAXY A54 5G 8Go 128Go - Blanc ,https://www.mytek.tn/smartphone-samsung-galaxy-a54-5g-8go-128go-blanc.html,samsung,galaxy a54 5g,8go,128gb,white,,mytek,INSTOCK,1899.000,2024-06-13
honor-905g,honor-905g-12go-512gb-black,Smartphone HONOR 90 5G 12Go 512Go - Noir,https://www.mytek.tn/smartphone-honor-90-5g-12go-512go-noir.html,honor,90 5g,12go,512gb,black,,mytek,INSTOCK,1949.000,2024-06-13
xiaomi-redminote13pro5g,xiaomi-redminote13pro5g-12go-512gb-white,Smartphone XIAOMI Redmi Note 13 Pro+ 5G 12Go 512Go - Blanc,https://www.mytek.tn/smartphone-xiaomi-redmi-note-13-pro-plus-5g-12go-512go-blanc.html,xiaomi,redmi note 13 pro 5g,12go,512gb,white,,mytek,INSTOCK,1949.000,2024-06-13
xiaomi-redminote13pro5g,xiaomi-redminote13pro5g-12go-512gb-violet,Smartphone XIAOMI Redmi Note 13 Pro+ 5G 12Go 512Go - Violet,https://www.mytek.tn/smartphone-xiaomi-redmi-note-13-pro-plus-5g-12go-512go-violet.html,xiaomi,redmi note 13 pro 5g,12go,512gb,violet,,mytek,INSTOCK,1949.000,2024-06-13
xiaomi-redminote13pro5g,xiaomi-redminote13pro5g-12go-512gb-black,Smartphone XIAOMI Redmi Note 13 Pro+ 5G 12Go 512Go - Noir,https://www.mytek.tn/smartphone-xiaomi-redmi-note-13-pro-plus-5g-12go-512go-noir.html,xiaomi,redmi note 13 pro 5g,12go,512gb,black,,mytek,INSTOCK,1949.000,2024-06-13
honor-905g,honor-905g-12go-512gb-diamondsilver,Smartphone HONOR 90 5G 12Go 512Go Diamond - Silver,https://www.mytek.tn/smartphone-honor-90-5g-12go-512go-diamond-silver.html,honor,90 5g,12go,512gb,diamond silver,,mytek,INSTOCK,1949.000,2024-06-13
samsung-galaxya555g,samsung-galaxya555g-8go-256gb-blue,Smartphone SAMSUNG GALAXY A55 5G 8Go 256Go - Bleu Glacier,https://www.mytek.tn/smartphone-samsung-galaxy-a55-5g-8go-256go-bleu-glacier.html,samsung,galaxy a55 5g,8go,256gb,blue,glacier,mytek,INSTOCK,1999.000,2024-06-13
samsung-galaxya555g,samsung-galaxya555g-8go-256gb,Smartphone SAMSUNG GALAXY A55 5G 8Go 256Go - Lilas,https://www.mytek.tn/smartphone-samsung-galaxy-a55-5g-8go-256go-lilac.html,samsung,galaxy a55 5g,8go,256gb,,lilas,mytek,INSTOCK,1999.000,2024-06-13
samsung-galaxya555g,samsung-galaxya555g-8go-256gb,Smartphone SAMSUNG GALAXY A55 5G 8Go 256Go - Citron,https://www.mytek.tn/smartphone-samsung-galaxy-a55-5g-8go-256go-citron.html,samsung,galaxy a55 5g,8go,256gb,,citron,mytek,INSTOCK,1999.000,2024-06-13
samsung-galaxya555g,samsung-galaxya555g-8go-256gb-blue,Smartphone SAMSUNG GALAXY A55 5G 8Go 256Go - Bleu Marine,https://www.mytek.tn/smartphone-samsung-galaxy-a55-5g-8go-256go-bleu-marine.html,samsung,galaxy a55 5g,8go,256gb,blue,marine,mytek,INSTOCK,1999.000,2024-06-13
huawei-nova11,huawei-nova11-8go-256gb-green,Smartphone HUAWEI Nova 11 8Go 256Go - Vert,https://www.mytek.tn/smartphone-huawei-nova-11-8go-256g-vert.html,huawei,nova 11,8go,256gb,green,,mytek,INSTOCK,2199.000,2024-06-13
samsung-galaxys24,samsung-galaxys24-8go-256gb-black,Smartphone SAMSUNG GALAXY S24 8Go 256Go - Noir,https://www.mytek.tn/smartphone-samsung-galaxy-s24-8go-256go-noir.html,samsung,galaxy s24,8go,256gb,black,,mytek,INSTOCK,3999.000,2024-06-13
samsung-galaxys24,samsung-galaxys24-8go-256gb-violet,Smartphone SAMSUNG GALAXY S24 8Go 256Go - Violet,https://www.mytek.tn/smartphone-samsung-galaxy-s24-8go-256go-violet.html,samsung,galaxy s24,8go,256gb,violet,,mytek,INSTOCK,3999.000,2024-06-13
samsung-galaxys24,samsung-galaxys24-8go-256gb-amberyellow,Smartphone SAMSUNG GALAXY S24 8Go 256Go - Jaune Ambre,https://www.mytek.tn/smartphone-samsung-galaxy-s24-8go-256go-jaune-ambre.html,samsung,galaxy s24,8go,256gb,amber yellow,,mytek,INSTOCK,3999.000,2024-06-13
samsung-galaxys24,samsung-galaxys24-8go-256gb-grey,Smartphone SAMSUNG GALAXY S24 8Go 256Go - Gris,https://www.mytek.tn/smartphone-samsung-galaxy-s24-8go-256go-gris.html,samsung,galaxy s24,8go,256gb,grey,,mytek,INSTOCK,3999.000,2024-06-13
samsung-galaxys23plus,samsung-galaxys23plus-8go-256gb-beige,Smartphone SAMSUNG Galaxy S23 Plus 8Go 256Go - Beige,https://www.mytek.tn/smartphone-samsung-galaxy-s23-plus-8go-256go-beige.html,samsung,galaxy s23 plus,8go,256gb,beige,,mytek,INSTOCK,4299.000,2024-06-13
samsung-galaxys24,samsung-galaxys24-12go-256gb-black,Smartphone SAMSUNG GALAXY S24+ 12Go 256Go - Noir,https://www.mytek.tn/smartphone-samsung-galaxy-s24-plus-12go-256go-noir.html,samsung,galaxy s24,12go,256gb,black,,mytek,INSTOCK,4599.000,2024-06-13
samsung-galaxys24,samsung-galaxys24-12go-256gb-amberyellow,Smartphone SAMSUNG GALAXY S24+ 12Go 256Go - Jaune Ambre,https://www.mytek.tn/smartphone-samsung-galaxy-s24-plus-12go-256go-jaune-ambre.html,samsung,galaxy s24,12go,256gb,amber yellow,,mytek,INSTOCK,4599.000,2024-06-13
samsung-galaxys24ultra,samsung-galaxys24ultra-12go-256gb-titaniumyellow,Smartphone SAMSUNG GALAXY S24 Ultra 12Go 256Go - Jaune Titanium,https://www.mytek.tn/smartphone-samsung-galaxy-s24-ultra-12go-256go-jaune-titanium.html,samsung,galaxy s24 ultra,12go,256gb,titanium yellow,,mytek,INSTOCK,5699.000,2024-06-13
