reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
samsung-galaxya04s,samsung-galaxya04s-4go-128gb-rose,Smartphone Samsung Galaxy A04s / 4 Go / 128 Go / Rose,https://www.tunisianet.com.tn/smartphone-tunisie/61102-smartphone-samsung-galaxy-a04s-4-go-128-go-rose.html,samsung,galaxy a04s,4go,128gb,rose,,tunisianet,INSTOCK,499.000,2024-06-13
infinix-hot40ix6528b,infinix-hot40ix6528b-8go-256gb-blue,Smartphone Infinix Hot 40i X6528B / 8 Go / 256 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/72743-smartphone-infinix-hot-40i-x6528b-8-go-256-go-bleu.html,infinix,hot 40i x6528b,8go,256gb,blue,,tunisianet,INSTOCK,499.000,2024-06-13
infinix-hot40ix6528b,infinix-hot40ix6528b-8go-256gb-black,Smartphone Infinix Hot 40i X6528B / 8 Go / 256 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/72744-smartphone-infinix-hot-40i-x6528b-8-go-256-go-noir.html,infinix,hot 40i x6528b,8go,256gb,black,,tunisianet,INSTOCK,499.000,2024-06-13
infinix-hot40ix6528b,infinix-hot40ix6528b-8go-256gb-green,Smartphone Infinix Hot 40i X6528B / 8 Go / 256 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/72772-smartphone-infinix-hot-40i-x6528b-8-go-256-go-vert.html,infinix,hot 40i x6528b,8go,256gb,green,,tunisianet,INSTOCK,499.000,2024-06-13
xiaomi-redmi13c,xiaomi-redmi13c-6go-128gb-white,Smartphone XIAOMI Redmi 13C / 6 Go / 128 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/70824-smartphone-xiaomi-redmi-13c-6-go-128-go-blanc.html,xiaomi,redmi 13c,6go,128gb,white,,tunisianet,INSTOCK,499.000,2024-06-13
itel-p558256g,itel-p558256g-gold,SMARTPHONE ITEL P55 8/256G / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/75392-smartphone-itel-p55-8256g-gold.html,itel,p55 8 256g,,,gold,,tunisianet,INSTOCK,519.000,2024-06-13
itel-p558256g,itel-p558256g-violet,SMARTPHONE ITEL P55 8/256G / Violet,https://www.tunisianet.com.tn/smartphone-tunisie/75390-smartphone-itel-p55-8256g-violet.html,itel,p55 8 256g,,,violet,,tunisianet,INSTOCK,519.000,2024-06-13
infinix-hot40ix6528b,infinix-hot40ix6528b-8go-256gb-gold,Smartphone Infinix Hot 40i X6528B / 8 Go / 256 Go / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/72757-smartphone-infinix-hot-40i-x6528b-8-go-256-go-gold.html,infinix,hot 40i x6528b,8go,256gb,gold,,tunisianet,INSTOCK,519.000,2024-06-13
xiaomi-redmi13c,xiaomi-redmi13c-6go-128gb-green,Smartphone XIAOMI Redmi 13C / 6 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/70848-smartphone-xiaomi-redmi-13c-6-go-128-go-vert.html,xiaomi,redmi 13c,6go,128gb,green,,tunisianet,INSTOCK,519.000,2024-06-13
itel-p558256g,itel-p558256g-blue,SMARTPHONE ITEL P55 8/256G / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/75393-smartphone-itel-p55-8256g-violet.html,itel,p55 8 256g,,,blue,,tunisianet,INSTOCK,519.000,2024-06-13
