ooredooshop_scrapy_persist.reference_global,ooredooshop_scrapy_persist.reference_detail,ooredooshop_scrapy_persist.ad_title,ooredooshop_scrapy_persist.ad_url,ooredooshop_scrapy_persist.marque,ooredooshop_scrapy_persist.modele,ooredooshop_scrapy_persist.ram,ooredooshop_scrapy_persist.stockage,ooredooshop_scrapy_persist.couleur,ooredooshop_scrapy_persist.options,ooredooshop_scrapy_persist.shop,ooredooshop_scrapy_persist.ad_stocks,ooredooshop_scrapy_persist.ad_price,ooredooshop_scrapy_persist.date_scrapy
xiaomi-redmi102022,xiaomi-redmi102022-4go-128gb,XIAOMI REDMI 10 2022 4+128G,https://www.ooredoo.tn/Personal/fr/accueil/879-1637-portable-xiaomi-redmi-10-4-128go.html#/5-couleur-gris,xiaomi,redmi 10 2022,4go,128gb,,,ooredooshop,retired,809.0,05/11/2023
xiaomi-redmi12,xiaomi-redmi12-4go-128gb,XIAOMI REDMI 12 (4+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1663-2412-portable-xiaomi-redmi-12-4128go.html#/73-couleur-noir,xiaomi,redmi 12,4go,128gb,,,ooredooshop,retired,599.0,05/11/2023
apple-iphone13,apple-iphone13,iPhone 13,https://www.ooredoo.tn/Personal/fr/accueil/545-925-portable-iphone-13-128go.html#/11-couleur-noir,apple,iphone 13,,,,,ooredooshop,INSTOCK,4719.0,28/01/2024
apple-iphone14,apple-iphone14,iPhone 14,https://www.ooredoo.tn/Personal/fr/accueil/1055-1586-portable-iphone-14-128gb.html#/73-couleur-noir,apple,iphone 14,,,,,ooredooshop,INSTOCK,5139.0,28/01/2024
apple-iphone14plus,apple-iphone14plus-128gb,iPhone 14 Plus 128GB,https://www.ooredoo.tn/Personal/fr/accueil/1091-1691-portable-iphone-14-128gb.html#/50-couleur-bleu,apple,iphone 14 plus,,128gb,,,ooredooshop,INSTOCK,5929.0,28/01/2024
apple-iphone14pro,apple-iphone14pro,iPhone 14 Pro,https://www.ooredoo.tn/Personal/fr/accueil/1058-1598-portable-iphone-14-pro-128gb.html#/51-couleur-argent,apple,iphone 14 pro,,,,,ooredooshop,INSTOCK,6699.0,28/01/2024
apple-iphone14promax,apple-iphone14promax,iPhone 14 Pro Max,https://www.ooredoo.tn/Personal/fr/accueil/1061-1604-portable-iphone-14-pro-max-128gb.html#/75-couleur-dore,apple,iphone 14 pro max,,,,,ooredooshop,INSTOCK,7469.0,28/01/2024
huawei-nova11i,huawei-nova11i,HUAWEI NOVA 11i,https://www.ooredoo.tn/Personal/fr/accueil/1397-2108-portable-huawei-nova-11i-tunisie.html#/73-couleur-noir,huawei,nova 11i,,,,,ooredooshop,INSTOCK,999.0,28/01/2024
huawei-nova8i,huawei-nova8i,Huawei Nova 8i,https://www.ooredoo.tn/Personal/fr/accueil/590-2497-portable-huawei-nova-8i.html#/14-couleur-bleu,huawei,nova 8i,,,,,ooredooshop,INSTOCK,1449.0,28/01/2024
huawei-nova9se,huawei-nova9se,Huawei Nova 9 SE,https://www.ooredoo.tn/Personal/fr/accueil/794-1139-portable-huawei-nova-9se.html#/50-couleur-bleu,huawei,nova 9 se,,,,,ooredooshop,INSTOCK,1199.0,28/01/2024
infinix-hot20,infinix-hot20-6go-128gb,INFINIX HOT 20 (6/128GO),https://www.ooredoo.tn/Personal/fr/accueil/1160-2512-portable-infinix-hot-20-6-128go.html#/73-couleur-noir,infinix,hot 20,6go,128gb,,,ooredooshop,INSTOCK,679.0,28/01/2024
infinix-hot20i,infinix-hot20i-4go-128gb,INFINIX HOT 20I (4/128 GB ),https://www.ooredoo.tn/Personal/fr/accueil/1098-2256-portable-infinix-hot-20i-4-128-gb-.html#/73-couleur-noir,infinix,hot 20i,4go,128gb,,,ooredooshop,INSTOCK,499.0,28/01/2024
