reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
ipro-a18,ipro-a18-black,Téléphone Portable IPRO  A18 - Noir,https://spacenet.tn/telephone-portable-tunisie/60681-telephone-portable-ipro-a18-noir.html,ipro,a18,,,black,,spacenet,INSTOCK,49.000,2024-06-18
iku-s3,iku-s3-blue,Téléphone Portable IKU S3 Bleu,https://spacenet.tn/telephone-portable-tunisie/68636-telephone-portable-iku-s3-bleu.html,iku,s3,,,blue,,spacenet,INSTOCK,49.000,2024-06-18
itel-2173,itel-2173-blue,Téléphone Portable Itel 2173 Bleu,https://spacenet.tn/telephone-portable-tunisie/72345-telephone-portable-itel-2173-bleu.html,itel,2173,,,blue,,spacenet,INSTOCK,55.000,2024-06-18
itel-2173,itel-2173-black,Téléphone Portable Itel 2173 Noir,https://spacenet.tn/telephone-portable-tunisie/72346-telephone-portable-itel-2173-noir.html,itel,2173,,,black,,spacenet,INSTOCK,55.000,2024-06-18
ipro-a20,ipro-a20-grey,Téléphone Portable IPRO A20 - Gris,https://spacenet.tn/telephone-portable-tunisie/60413-telephone-portable-ipro-a20-gris.html,ipro,a20,,,grey,,spacenet,INSTOCK,59.000,2024-06-18
ipro-a20,ipro-a20-blue,Téléphone Portable IPRO A20 - Bleu,https://spacenet.tn/telephone-portable-tunisie/60412-telephone-portable-ipro-a20-bleu.html,ipro,a20,,,blue,,spacenet,INSTOCK,59.000,2024-06-18
ipro-a20,ipro-a20-white,Téléphone Portable IPRO A20 - Blanc,https://spacenet.tn/telephone-portable-tunisie/60411-telephone-portable-ipro-a20-blanc.html,ipro,a20,,,white,,spacenet,INSTOCK,59.000,2024-06-18
ipro-a20,ipro-a20-red,Téléphone Portable IPRO A20 - Rouge,https://spacenet.tn/telephone-portable-tunisie/60410-telephone-portable-ipro-a20-rouge.html,ipro,a20,,,red,,spacenet,INSTOCK,59.000,2024-06-18
ipro-a20,ipro-a20-black,Téléphone Portable IPRO A20 - Noir,https://spacenet.tn/telephone-portable-tunisie/60409-telephone-portable-ipro-a20-noir.html,ipro,a20,,,black,,spacenet,INSTOCK,59.000,2024-06-18
ipro-iprof183avecsupport,ipro-iprof183avecsupport-black,Téléphone Portable IPRO IPRO F183 Avec Support - Noir,https://spacenet.tn/telephone-portable-tunisie/60407-telephone-portable-ipro-ipro-f183-avec-support-noir.html,ipro,ipro f183 avec support,,,black,,spacenet,INSTOCK,59.000,2024-06-18
nokia-105crazy5,nokia-105crazy5-blue,Téléphone Portable Nokia 105 Crazy 5 Bleu,https://spacenet.tn/telephone-portable-tunisie/71693-telephone-portable-nokia-105-crazy-5-bleu.html,nokia,105 crazy 5,,,blue,,spacenet,INSTOCK,59.900,2024-06-18
apple-geniphonea33,apple-geniphonea33-blue,Téléphone Portable Geniphone A33 Bleu,https://spacenet.tn/telephone-portable-tunisie/74921-telephone-portable-geniphone-a33-bleu.html,apple,geniphone a33,,,blue,,spacenet,ONDEMAND,59.900,2024-06-18
nokia-105crazy5,nokia-105crazy5-black,Téléphone Portable Nokia 105 Crazy 5 Noir,https://spacenet.tn/telephone-portable-tunisie/71691-telephone-portable-nokia-105-crazy-5-noir.html,nokia,105 crazy 5,,,black,,spacenet,INSTOCK,59.900,2024-06-18
apple-geniphonea33,apple-geniphonea33-black,Téléphone Portable Geniphone A33 Noir,https://spacenet.tn/telephone-portable-tunisie/74918-telephone-portable-geniphone-a33-noir.html,apple,geniphone a33,,,black,,spacenet,ONDEMAND,59.900,2024-06-18
itel-5081,itel-5081-blue,Téléphone Portable Itel 5081 Bleu,https://spacenet.tn/telephone-portable-tunisie/72302-telephone-portable-itel-5081-bleu.html,itel,5081,,,blue,,spacenet,INSTOCK,65.000,2024-06-18
itel-5081,itel-5081-black,Téléphone Portable Itel 5081 Noir,https://spacenet.tn/telephone-portable-tunisie/72301-telephone-portable-itel-5081-noir.html,itel,5081,,,black,,spacenet,INSTOCK,65.000,2024-06-18
iku-s5,iku-s5-blue,Téléphone Portable IKU S5 Bleu,https://spacenet.tn/telephone-portable-tunisie/68629-telephone-portable-iku-s5-bleu.html,iku,s5,,,blue,,spacenet,INSTOCK,69.000,2024-06-18
iku-s5,iku-s5-black,Téléphone Portable IKU S5 Noir,https://spacenet.tn/telephone-portable-tunisie/68627-telephone-portable-iku-s5-noir.html,iku,s5,,,black,,spacenet,INSTOCK,69.000,2024-06-18
nokia-1062023,nokia-1062023-red,Téléphone Portable Nokia 106 2023 - Rouge,https://spacenet.tn/telephone-portable-tunisie/59148-telephone-portable-nokia-106-2023-rouge.html,nokia,106 2023,,,red,,spacenet,INSTOCK,69.000,2024-06-18
nokia-1062023,nokia-1062023-black,Téléphone Portable Nokia 106 2023 - Noir,https://spacenet.tn/telephone-portable-tunisie/59145-telephone-portable-nokia-106-2023-noir.html,nokia,106 2023,,,black,,spacenet,INSTOCK,69.000,2024-06-18
iku-s5,iku-s5-grey,Téléphone Portable IKU S5 Gris,https://spacenet.tn/telephone-portable-tunisie/68630-telephone-portable-iku-s5-gris.html,iku,s5,,,grey,,spacenet,INSTOCK,69.000,2024-06-18
nokia-1062023,nokia-1062023-green,Téléphone Portable Nokia 106 2023 - Vert,https://spacenet.tn/telephone-portable-tunisie/59150-telephone-portable-nokia-106-2023-vert.html,nokia,106 2023,,,green,,spacenet,INSTOCK,69.000,2024-06-18
ipro-a29,ipro-a29-black,Téléphone Portable IPRO A29 Noir,https://spacenet.tn/telephone-portable-tunisie/59687-telephone-portable-ipro-a29-rouge-noir.html,ipro,a29,,,black,,spacenet,ONDEMAND,69.000,2024-06-18
iku-s5,iku-s5-green,Téléphone Portable IKU S5 Vert,https://spacenet.tn/telephone-portable-tunisie/68632-telephone-portable-iku-s5-vert.html,iku,s5,,,green,,spacenet,INSTOCK,69.000,2024-06-18
ipro-a29,ipro-a29-black&red,Téléphone Portable IPRO A29 Rouge & Noir,https://spacenet.tn/telephone-portable-tunisie/57699-telephone-portable-ipro-a29-rouge-noir.html,ipro,a29,,,black&red,&,spacenet,INSTOCK,69.000,2024-06-18
ipro-a29,ipro-a29-black&blue,Téléphone Portable IPRO A29 Bleu & Noir,https://spacenet.tn/telephone-portable-tunisie/57701-telephone-portable-ipro-a29-bleu-noir.html,ipro,a29,,,black&blue,&,spacenet,ONDEMAND,69.000,2024-06-18
iku-s10doublesim,iku-s10doublesim-blue,SMARTPHONE IKU S10 DOUBLE SIM - BLEU,https://spacenet.tn/telephone-portable-tunisie/36198-smartphone-iku-s10-double-sim-bleu.html,iku,s10 double sim,,,blue,,spacenet,ONDEMAND,79.000,2024-06-18
ami-c14powerbank,ami-c14powerbank-green,Téléphone Portable AMI C14 Power Bank Vert Foncé,https://spacenet.tn/telephone-portable-tunisie/58559-telephone-portable-ami-c14-power-bank-vert-fonce.html,ami,c14 power bank,,,green,,spacenet,INSTOCK,79.000,2024-06-18
iku-s10,iku-s10-black,Téléphone Portable IKU S10 Noir,https://spacenet.tn/telephone-portable-tunisie/41690-telephone-portable-iku-s10-noir.html,iku,s10,,,black,,spacenet,ONDEMAND,79.000,2024-06-18
ami-c14powerbank,ami-c14powerbank-darkblue,Téléphone Portable AMI C14 Power Bank Bleu Foncé,https://spacenet.tn/telephone-portable-tunisie/65895-telephone-portable-ami-c14-power-bank-bleu-fonce.html,ami,c14 power bank,,,dark blue,,spacenet,ONDEMAND,79.000,2024-06-18
ami-c14powerbank,ami-c14powerbank-black&silver,Téléphone Portable AMI C14 Power Bank Noir&Silver,https://spacenet.tn/telephone-portable-tunisie/58558--telephone-portable-ami-c14-power-bank-noirsilver.html,ami,c14 power bank,,,black&silver,,spacenet,ONDEMAND,79.000,2024-06-18
nokia-110,nokia-110-green,Téléphone Portable Nokia 110 Vert,https://spacenet.tn/telephone-portable-tunisie/54451-telephone-portable-nokia-110-vert.html,nokia,110,,,green,,spacenet,INSTOCK,79.000,2024-06-18
nokia-1102023,nokia-1102023-black,Téléphone Portable Nokia 110 2023 - Noir,https://spacenet.tn/telephone-portable-tunisie/59155-telephone-portable-nokia-110-2023-noir.html,nokia,110 2023,,,black,,spacenet,INSTOCK,79.900,2024-06-18
nokia-1102023,nokia-1102023-blue,Téléphone Portable Nokia 110 2023 - Bleu,https://spacenet.tn/telephone-portable-tunisie/59157-telephone-portable-nokia-110-2023-bleu.html,nokia,110 2023,,,blue,,spacenet,INSTOCK,79.900,2024-06-18
ipro-v10,ipro-v10-red,Téléphone Portable IPRO V10 Rouge,https://spacenet.tn/telephone-portable-tunisie/50968-telephone-portable-ipro-v10-rouge.html,ipro,v10,,,red,,spacenet,INSTOCK,89.000,2024-06-18
ipro-v10,ipro-v10-blue,Téléphone Portable IPRO V10 Bleu,https://spacenet.tn/telephone-portable-tunisie/50969-telephone-portable-ipro-v10-bleu.html,ipro,v10,,,blue,,spacenet,INSTOCK,89.000,2024-06-18
nokia-130,nokia-130-violet,Téléphone Portable Nokia 130 Violet,https://spacenet.tn/telephone-portable-tunisie/67900-telephone-portable-nokia-130-violet.html,nokia,130,,,violet,,spacenet,INSTOCK,109.000,2024-06-18
