reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
samsung-galaxyzfold4,samsung-galaxyzfold4,Galaxy Z Fold4,https://www.samsungshop.tn/galaxy-z-prix-tunisie/1735-3081-galaxy-z-fold4-prix-tunisie.html#/11-couleur-noir,samsung,galaxy z fold4,,,,,samsungshop,INSTOCK,7289.000,2024-06-13
samsung-galaxya03,samsung-galaxya03-4go-128gb,Galaxy A03 (4/128GO),https://www.samsungshop.tn/galaxy-a/1678-2945-galaxy-a03-128go-prix-tunisie.html#/33-couleur-rouge,samsung,galaxy a03,4go,128gb,,,samsungshop,INSTOCK,499.000,2024-06-13
samsung-galaxys22ultra5g,samsung-galaxys22ultra5g,Galaxy S22 Ultra 5G,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1648-2869-galaxy-s22-ultra-5g-prix-tunisie.html#/15-couleur-vert_emeraude_green_emerald,samsung,galaxy s22 ultra 5g,,,,,samsungshop,INSTOCK,4999.000,2024-06-13
samsung-galaxys22plus5g,samsung-galaxys22plus5g,Galaxy S22 Plus 5G,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1647-2865-galaxy-s22-plus-5g-prix-tunisie.html#/11-couleur-noir,samsung,galaxy s22 plus 5g,,,,,samsungshop,INSTOCK,4139.000,2024-06-13
samsung-galaxya524g,samsung-galaxya524g,Galaxy A52 4G,https://www.samsungshop.tn/galaxy-a/1459-2394--galaxy-a52-4g-prix-tunisie.html#/48-couleur-mauve_orchidee,samsung,galaxy a52 4g,,,,,samsungshop,INSTOCK,1349.000,2024-06-13
samsung-galaxys21plus5g,samsung-galaxys21plus5g,Galaxy S21 plus 5G,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1407-2250-galaxy-s21-plus-5g-tunisie.html#/28-couleur-silver,samsung,galaxy s21 plus 5g,,,,,samsungshop,INSTOCK,4459.000,2024-06-13
samsung-galaxys20,samsung-galaxys20,Samsung Galaxy S20,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1372-2219-samsung-galaxy-s20-tunisie.html#/35-couleur-rose,samsung,galaxy s20,,,,,samsungshop,INSTOCK,2899.000,2024-06-13
samsung-galaxys20plus,samsung-galaxys20plus,Samsung Galaxy S20 Plus,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1371-2218-samsung-galaxy-s20-tunisie.html#/49-couleur-midnight_black,samsung,galaxy s20 plus,,,,,samsungshop,INSTOCK,3479.000,2024-06-13
samsung-galaxys20ultra,samsung-galaxys20ultra,Galaxy S20 Ultra,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1370-2215-samsung-galaxy-s20-ultra-prix-tunsie.html#/44-couleur-gris,samsung,galaxy s20 ultra,,,,,samsungshop,INSTOCK,3498.000,2024-06-13
samsung-galaxys20fe,samsung-galaxys20fe,Samsung Galaxy S20 FE,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1350-2162-samsung-galaxy-s20-fe-tunisie.html#/33-couleur-rouge,samsung,galaxy s20 fe,,,,,samsungshop,INSTOCK,2184.000,2024-06-13
samsung-galaxynote20,samsung-galaxynote20,Samsung Galaxy Note 20,https://www.samsungshop.tn/galaxy-note/1306-2110-samsung-galaxy-note-20-tunisie.html#/15-couleur-vert_emeraude_green_emerald,samsung,galaxy note 20,,,,,samsungshop,INSTOCK,3499.000,2024-06-13
samsung-galaxynote20ultra,samsung-galaxynote20ultra,Samsung Galaxy Note 20 Ultra,https://www.samsungshop.tn/galaxy-note/1299-2100-samsung-galaxy-note-20-ultra-tunisie.html#/6-couleur-bronze,samsung,galaxy note 20 ultra,,,,,samsungshop,INSTOCK,3750.000,2024-06-13
samsung-galaxya31,samsung-galaxya31,Galaxy A31,https://www.samsungshop.tn/galaxy-a/1276-2063-galaxy-a31-prix-tunisie.html#/8-couleur-blanc,samsung,galaxy a31,,,,,samsungshop,INSTOCK,899.000,2024-06-13
samsung-galaxya01,samsung-galaxya01,Galaxy A01,https://www.samsungshop.tn/galaxy-a/1265-2042-galaxy-a01-prix-tunisie.html#/14-couleur-bleu,samsung,galaxy a01,,,,,samsungshop,INSTOCK,399.000,2024-06-13
samsung-galaxya10s,samsung-galaxya10s,Galaxy A10s,https://www.samsungshop.tn/galaxy-a/1205-1932-galaxy-a10s-samsung-tunisie-prix.html#/11-couleur-noir,samsung,galaxy a10s,,,,,samsungshop,INSTOCK,499.000,2024-06-13
samsung-galaxya04,samsung-galaxya04-4go-128gb,Galaxy A04 (4/128Go),https://www.samsungshop.tn/galaxy-a/1936-3646-galaxy-a04-4128go-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a04,4go,128gb,,,samsungshop,INSTOCK,489.000,2024-06-13
samsung-galaxyzfold4bundle,samsung-galaxyzfold4bundle,Galaxy Z Fold4 bundle,https://www.samsungshop.tn/accueil/1863-galaxy-z-fold4-bundle-prix-tunisie.html,samsung,galaxy z fold4 bundle,,,,,samsungshop,INSTOCK,8200.000,2024-06-13
samsung-galaxys23ultra,samsung-galaxys23ultra,Samsung Galaxy S23 Ultra,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1829-3351-samsung-galaxy-s23-ultra-prix-tunisie.html#/15-couleur-vert_emeraude_green_emerald,samsung,galaxy s23 ultra,,,,,samsungshop,INSTOCK,5389.000,2024-06-13
samsung-galaxys23plus,samsung-galaxys23plus,Samsung Galaxy S23 Plus,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1828-3346-samsung-galaxy-s23-plus-prix-tunisie.html#/48-couleur-mauve_orchidee,samsung,galaxy s23 plus,,,,,samsungshop,INSTOCK,4589.000,2024-06-13
samsung-galaxya04s,samsung-galaxya04s-4go-64gb,Galaxy A04S (4/64Go),https://www.samsungshop.tn/galaxy-a/1793-3249-galaxy-a04s-64-go-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a04s,4go,64gb,,,samsungshop,INSTOCK,599.000,2024-06-13
samsung-galaxya04s,samsung-galaxya04s-3go-32gb,Galaxy A04S (3/32Go),https://www.samsungshop.tn/galaxy-a/1792-3247-galaxy-a04s-32-go-prix-tunisie.html#/8-couleur-blanc,samsung,galaxy a04s,3go,32gb,,,samsungshop,INSTOCK,619.000,2024-06-13
samsung-galaxyzflip4,samsung-galaxyzflip4-256gb,Galaxy Z Flip4 (256Go),https://www.samsungshop.tn/galaxy-z-prix-tunisie/1762-3165-galaxy-z-flip4-256go-prix-tunisie.html#/48-couleur-mauve_orchidee,samsung,galaxy z flip4,,256gb,,,samsungshop,INSTOCK,4189.000,2024-06-13
