mytek_scrapy_persist.reference_global,mytek_scrapy_persist.reference_detail,mytek_scrapy_persist.ad_title,mytek_scrapy_persist.ad_url,mytek_scrapy_persist.marque,mytek_scrapy_persist.modele,mytek_scrapy_persist.ram,mytek_scrapy_persist.stockage,mytek_scrapy_persist.couleur,mytek_scrapy_persist.options,mytek_scrapy_persist.shop,mytek_scrapy_persist.ad_stocks,mytek_scrapy_persist.ad_price,mytek_scrapy_persist.date_scrapy
oneplus-nordce5g,oneplus-nordce5g-12go-256gb-black,Smartphone ONEPLUS Nord CE 5G 12Go 256Go - Noir,https://www.mytek.tn/smartphone-oneplus-nord-ce-5g-12go-256go-noir.html,oneplus,nord ce 5g,12go,256gb,black,,mytek,INSTOCK,999.0,2023-11-05
xiaomi-redminote12s,xiaomi-redminote12s-8go-256gb-blue,Smartphone XIAOMI Redmi Note 12S 8Go 256Go - Bleu,https://www.mytek.tn/smartphone-xiaomi-redmi-note-12s-8go-256go-bleu.html,xiaomi,redmi note 12s,8go,256gb,blue,,mytek,INSTOCK,1024.0,2023-11-05
xiaomi-redminote12s,xiaomi-redminote12s-8go-256gb-onyxblack,Smartphone XIAOMI Redmi Note 12S 8Go 256Go - Noir Onyx,https://www.mytek.tn/smartphone-xiaomi-redmi-note-12s-8go-256go-noir-onyx.html,xiaomi,redmi note 12s,8go,256gb,onyx black,,mytek,INSTOCK,1024.0,2023-11-05
xiaomi-redminote12s,xiaomi-redminote12s-8go-256gb-green,Smartphone XIAOMI Redmi Note 12S 8Go 256Go - Vert,https://www.mytek.tn/smartphone-xiaomi-redmi-note-12s-8go-256go-vert.html,xiaomi,redmi note 12s,8go,256gb,green,,mytek,INSTOCK,1024.0,2023-11-05
samsung-a23,samsung-a23-4go-64gb-orange,Smartphone SAMSUNG A23 4Go 64Go - Orangé,https://www.mytek.tn/smartphone-samsung-a23-4go-64go-orange.html,samsung,a23,4go,64gb,orange,,mytek,INSTOCK,1029.0,2023-11-05
huawei-nova11i,huawei-nova11i-8go-128gb-green,Smartphone HUAWEI Nova 11i 8Go 128Go Vert + Band 8,https://www.mytek.tn/smartphone-huawei-nova-11i-8go-128go-vert-band-8.html,huawei,nova 11i,8go,128gb,green,band 8,mytek,INSTOCK,1039.0,2023-11-05
huawei-nova11i,huawei-nova11i-8go-128gb-black,Smartphone HUAWEI Nova 11i 8Go 128Go Noir + Band 8,https://www.mytek.tn/smartphone-huawei-nova-11i-8go-128go-noir-band-8.html,huawei,nova 11i,8go,128gb,black,band 8,mytek,INSTOCK,1039.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-6go-128gb-green,Smartphone SAMSUNG GALAXY A24 6Go 128Go - Vert ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-6go-128go-vert.html,samsung,galaxy a24,6go,128gb,green,,mytek,INSTOCK,1059.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-6go-128gb-black,Smartphone SAMSUNG GALAXY A24 6Go 128Go - Noir ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-6go-128go-noir.html,samsung,galaxy a24,6go,128gb,black,,mytek,INSTOCK,1059.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-6go-128gb-silver,Smartphone SAMSUNG GALAXY A24 6Go 128Go - Silver ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-6go-128go-silver.html,samsung,galaxy a24,6go,128gb,silver,,mytek,INSTOCK,1059.0,2023-11-05
oppo-a96,oppo-a96-8go-256gb-blue,Smartphone OPPO A96 8Go 256Go Bleu + Abonnement 12 Mois ,https://www.mytek.tn/smartphone-oppo-a96-256go-8go-bleu.html,oppo,a96,8go,256gb,blue,abonnement 12 mois,mytek,INSTOCK,1069.0,2023-11-05
oppo-a96,oppo-a96-8go-256gb-black,Smartphone OPPO A96 8Go 256Go Noir + Abonnement 12 Mois,https://www.mytek.tn/smartphone-oppo-a96-8go-256go-noir-abonnement-12-mois.html,oppo,a96,8go,256gb,black,abonnement 12 mois,mytek,INSTOCK,1069.0,2023-11-05
oneplus-nord25g,oneplus-nord25g-8go-128gb-grey,Smartphone ONEPLUS Nord 2 5G 8Go 128Go - Gris,https://www.mytek.tn/smartphone-oneplus-nord-2-5g-8g-128go-gris.html,oneplus,nord 2 5g,8go,128gb,grey,,mytek,INSTOCK,1099.0,2023-11-05
xiaomi-redminote12pro4g,xiaomi-redminote12pro4g-6go-128gb-graphitegray,Smartphone XIAOMI Redmi Note 12 Pro 4G 6Go 128Go - Gris Graphite,https://www.mytek.tn/smartphone-xiaomi-redmi-note-12-pro-4g-6go-128go-gris-graphite.html,xiaomi,redmi note 12 pro 4g,6go,128gb,graphite gray,,mytek,INSTOCK,1124.0,2023-11-05
huawei-novay91,huawei-novay91-8go-256gb-black,Smartphone HUAWEI Nova Y91 8Go 256Go Noir + SmartWatch Gratuite,https://www.mytek.tn/smartphone-huawei-nova-y91-8go-256go-noir.html,huawei,nova y91,8go,256gb,black,smartwatch gratuite,mytek,INSTOCK,1149.0,2023-11-05
huawei-novay91,huawei-novay91-8go-256gb-silver,Smartphone HUAWEI Nova Y91 8Go 256Go Silver + SmartWatch Gratuite,https://www.mytek.tn/smartphone-huawei-nova-y91-8go-256go-silver.html,huawei,nova y91,8go,256gb,silver,smartwatch gratuite,mytek,INSTOCK,1149.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-8go-128gb-green,Smartphone SAMSUNG GALAXY A24 8Go 128Go - Vert ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-8go-128go-vert.html,samsung,galaxy a24,8go,128gb,green,,mytek,INSTOCK,1149.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-8go-128gb-silver,Smartphone SAMSUNG GALAXY A24 8Go 128Go - Silver,https://www.mytek.tn/smartphone-samsung-galaxy-a24-8go-128go-silver.html,samsung,galaxy a24,8go,128gb,silver,,mytek,INSTOCK,1149.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-8go-128gb-black,Smartphone SAMSUNG GALAXY A24 8Go 128Go - Noir ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-8go-128go-noir.html,samsung,galaxy a24,8go,128gb,black,,mytek,INSTOCK,1149.0,2023-11-05
oppo-reno8t4g,oppo-reno8t4g-8go-256gb-orange,Smartphone OPPO Reno8 T 4G 8Go 256Go Orange + Abonnement 12 Mois,https://www.mytek.tn/smartphone-oppo-reno8-t-4g-8go-256go-orange.html,oppo,reno8 t 4g,8go,256gb,orange,abonnement 12 mois,mytek,INSTOCK,1179.0,2023-11-05
oppo-reno8t4g,oppo-reno8t4g-8go-256gb-black,Smartphone OPPO Reno8 T 4G 8Go 256Go Noir + Abonnement 12Mois,https://www.mytek.tn/smartphone-oppo-reno-8t-4g-8go-256go-noir.html,oppo,reno8 t 4g,8go,256gb,black,abonnement 12mois,mytek,INSTOCK,1179.0,2023-11-05
