mytek_scrapy_persist.reference_global,mytek_scrapy_persist.reference_detail,mytek_scrapy_persist.ad_title,mytek_scrapy_persist.ad_url,mytek_scrapy_persist.marque,mytek_scrapy_persist.modele,mytek_scrapy_persist.ram,mytek_scrapy_persist.stockage,mytek_scrapy_persist.couleur,mytek_scrapy_persist.options,mytek_scrapy_persist.shop,mytek_scrapy_persist.ad_stocks,mytek_scrapy_persist.ad_price,mytek_scrapy_persist.date_scrapy
benco-v80,benco-v80-4go-64gb-cyanblue,Smartphone BENCO V80 4Go 64Go - Bleu Cyan ,https://www.mytek.tn/smartphone-benco-v80-4go-64go-bleu-cyan.html,benco,v80,4go,64gb,cyan blue,,mytek,retired,349.0,2023-11-05
benco-y113g,benco-y113g-1go-32gb-darkblue,Smartphone BENCO Y11 3G 1Go 32Go - Bleu Foncé,https://www.mytek.tn/smartphone-benco-y11-3g-1go-32go-bleu-fonce.html,benco,y11 3g,1go,32gb,dark blue,,mytek,retired,159.0,2023-11-05
huawei-nova11i,huawei-nova11i-8go-128gb-black,Smartphone HUAWEI Nova 11i 8Go 128Go Noir + Band 8,https://www.mytek.tn/smartphone-huawei-nova-11i-8go-128go-noir-band-8.html,huawei,nova 11i,8go,128gb,black,band 8,mytek,retired,1039.0,2023-11-05
huawei-nova11i,huawei-nova11i-8go-128gb-green,Smartphone HUAWEI Nova 11i 8Go 128Go Vert + Band 8,https://www.mytek.tn/smartphone-huawei-nova-11i-8go-128go-vert-band-8.html,huawei,nova 11i,8go,128gb,green,band 8,mytek,retired,1039.0,2023-11-05
huawei-nova9se,huawei-nova9se-8go-128gb-black,Smartphone HUAWEI Nova 9 SE 8Go 128Go Noir + SmartWatch Gratuite + Abonnement 12Mois,https://www.mytek.tn/smartphone-huawei-nova-9-se-8g-128g-noir.html,huawei,nova 9 se,8go,128gb,black,smartwatch gratuite abonnement 12mois,mytek,retired,899.0,2023-11-05
huawei-nova9se,huawei-nova9se-8go-128gb-blue,Smartphone HUAWEI Nova 9 SE 8Go 128Go Bleu + SmartWatch Gratuite + Abonnement 12Mois,https://www.mytek.tn/smartphone-huawei-nova-9-se-8go-128g-bleu.html,huawei,nova 9 se,8go,128gb,blue,smartwatch gratuite abonnement 12mois,mytek,retired,899.0,2023-11-05
huawei-novay90,huawei-novay90-6go-128gb-green,Smartphone HUAWEI Nova Y90 6Go 128Go - Vert,https://www.mytek.tn/smartphone-huawei-nova-y90-6go-128go-vert.html,huawei,nova y90,6go,128gb,green,,mytek,retired,849.0,2023-11-05
huawei-novay91,huawei-novay91-8go-256gb-black,Smartphone HUAWEI Nova Y91 8Go 256Go Noir + Band 8,https://www.mytek.tn/smartphone-huawei-nova-y91-8go-256go-noir-band-8.html,huawei,nova y91,8go,256gb,black,band 8,mytek,retired,1239.0,2023-11-05
huawei-novay91,huawei-novay91-8go-256gb-silver,Smartphone HUAWEI Nova Y91 8Go 256Go Silver + SmartWatch Gratuite,https://www.mytek.tn/smartphone-huawei-nova-y91-8go-256go-silver.html,huawei,nova y91,8go,256gb,silver,smartwatch gratuite,mytek,retired,1149.0,2023-11-05
iku-a10s,iku-a10s-4go-32gb-blue,Smartphone IKU A10s 4Go 32Go - Bleu,https://www.mytek.tn/smartphone-iku-a10s-4go-32go-bleu.html,iku,a10s,4go,32gb,blue,,mytek,retired,329.0,2023-11-05
iku-a704g,iku-a704g-64gb-green,Smartphone IKU A70 4G 64G - Vert,https://www.mytek.tn/smartphone-iku-a70-4g-64g-vert.html,iku,a70,4g,64gb,green,,mytek,retired,489.0,2023-11-05
iku-a7plus,iku-a7plus-2go-16gb-grey,Smartphone IKU A7 Plus 2Go 16Go - Gris,https://www.mytek.tn/smartphone-iku-a7-plus-2go-16go-gris.html,iku,a7 plus,2go,16gb,grey,,mytek,retired,259.0,2023-11-05
infinix-hot12,infinix-hot12-4go-128gb-white,Smartphone INFINIX HOT 12 4Go 128Go - Blanc,https://www.mytek.tn/smartphone-infinix-hot-12-4go-128go-blanc.html,infinix,hot 12,4go,128gb,white,,mytek,retired,619.0,2023-11-05
infinix-hot30i,infinix-hot30i-4go-128gb-marigold,Smartphone INFINIX HOT 30i 4Go 128Go - Mari Gold,https://www.mytek.tn/smartphone-infinix-hot-30i-4go-128go-mari-gold.html,infinix,hot 30i,4go,128gb,marigold,,mytek,retired,439.0,2023-11-05
infinix-hot30i,infinix-hot30i-4go-128gb-white,Smartphone INFINIX HOT 30i 4Go 128Go - Blanc,https://www.mytek.tn/smartphone-infinix-hot-30i-4go-128go-blanc.html,infinix,hot 30i,4go,128gb,white,,mytek,retired,439.0,2023-11-05
infinix-hot30i,infinix-hot30i-8go-128gb-black,Smartphone INFINIX HOT 30i 8Go 128Go - Noir,https://www.mytek.tn/smartphone-infinix-hot-30i-8go-128go-noir.html,infinix,hot 30i,8go,128gb,black,,mytek,retired,499.0,2023-11-05
infinix-note304g,infinix-note304g-8go-256gb-blue,Smartphone INFINIX Note 30 4G 8Go 256Go - Bleu,https://www.mytek.tn/smartphone-infinix-note-30-4g-8go-256go-bleu.html,infinix,note 30 4g,8go,256gb,blue,,mytek,retired,739.0,2023-11-05
infinix-note304g,infinix-note304g-8go-256gb-sunsetgold,Smartphone INFINIX Note 30 4G 8Go 256Go - Sunset Gold,https://www.mytek.tn/smartphone-infinix-note-30-4g-8go-256go-sunset-gold.html,infinix,note 30 4g,8go,256gb,sunset gold,,mytek,retired,739.0,2023-11-05
infinix-smart7,infinix-smart7-4go-64gb-white,Smartphone INFINIX SMART 7 4Go 64Go - Blanc,https://www.mytek.tn/smartphone-infinix-smart-7-4go-64go-blanc.html,infinix,smart 7,4go,64gb,white,,mytek,retired,379.0,2023-11-05
infinix-smart7hd,infinix-smart7hd-2go-64gb-green,Smartphone INFINIX SMART 7 HD 2Go 64Go - Vert,https://www.mytek.tn/smartphone-infinix-smart-7-hd-2go-64go-vert.html,infinix,smart 7 hd,2go,64gb,green,,mytek,retired,299.0,2023-11-05
infinix-smart7hd,infinix-smart7hd-2go-64gb-white,Smartphone INFINIX SMART 7 HD 2Go 64Go - Blanc,https://www.mytek.tn/smartphone-infinix-smart-7-hd-2go-64go-blanc.html,infinix,smart 7 hd,2go,64gb,white,,mytek,retired,299.0,2023-11-05
iplus-nu654g,iplus-nu654g-4go-64gb-blue,Smartphone IPLUS NU65 4G 4Go 64Go - Bleu,https://www.mytek.tn/smartphone-iplus-nu65-4g-4go-64go-bleu.html,iplus,nu65 4g,4go,64gb,blue,,mytek,retired,199.0,2023-11-05
itel-p40,itel-p40-4go-128gb-blue,Smartphone ITEL P40 4Go 128Go - Bleu,https://www.mytek.tn/smartphone-itel-p40-4go-128go-bleu.html,itel,p40,4go,128gb,blue,,mytek,retired,349.0,2023-11-05
itel-s23,itel-s23-4go-128gb-black,Smartphone ITEL S23 4Go 128Go - Noir,https://www.mytek.tn/smartphone-itel-s23-4go-128go-noir.html,itel,s23,4go,128gb,black,,mytek,retired,389.0,2023-11-05
kxd-d26,kxd-d26-2go-32gb-green,Smartphone KXD D26 2Go 32Go - Vert,https://www.mytek.tn/smartphone-kxd-d26-2go-32go-vert.html,kxd,d26,2go,32gb,green,,mytek,retired,259.0,2023-11-05
oneplus-nord25g,oneplus-nord25g-8go-128gb-grey,Smartphone ONEPLUS Nord 2 5G 8Go 128Go - Gris,https://www.mytek.tn/smartphone-oneplus-nord-2-5g-8g-128go-gris.html,oneplus,nord 2 5g,8go,128gb,grey,,mytek,retired,1099.0,2023-11-05
oppo-a96,oppo-a96-8go-256gb-black,Smartphone OPPO A96 8Go 256Go Noir + Abonnement 12 Mois,https://www.mytek.tn/smartphone-oppo-a96-8go-256go-noir-abonnement-12-mois.html,oppo,a96,8go,256gb,black,abonnement 12 mois,mytek,retired,1069.0,2023-11-05
oppo-reno8t4g,oppo-reno8t4g-8go-256gb-orange,Smartphone OPPO Reno8 T 4G 8Go 256Go Orange + Abonnement 12 Mois,https://www.mytek.tn/smartphone-oppo-reno8-t-4g-8go-256go-orange.html,oppo,reno8 t 4g,8go,256gb,orange,abonnement 12 mois,mytek,retired,1179.0,2023-11-05
realme-c21y,realme-c21y-4go-64gb-black,Smartphone REALME C21Y 4Go 64Go - Noir,https://www.mytek.tn/smartphone-realme-c21y-4go-64go-noir.html,realme,c21y,4go,64gb,black,,mytek,retired,459.0,2023-11-05
samsung-a23,samsung-a23-4go-64gb-orange,Smartphone SAMSUNG A23 4Go 64Go - Orangé,https://www.mytek.tn/smartphone-samsung-a23-4go-64go-orange.html,samsung,a23,4go,64gb,orange,,mytek,retired,1029.0,2023-11-05
samsung-galaxya04s,samsung-galaxya04s-4go-128gb-black,Smartphone SAMSUNG GALAXY A04S 4Go 128Go Noir + Abonnement Global 12 Mois,https://www.mytek.tn/smartphone-samsung-galaxy-a04s-4go-128go-noir.html,samsung,galaxy a04s,4go,128gb,black,abonnement global 12 mois,mytek,retired,599.0,2023-11-05
samsung-galaxya04s,samsung-galaxya04s-4go-64gb-copper,Smartphone SAMSUNG GALAXY A04S 4Go 64Go Cuivre + Abonnement Global 12 Mois,https://www.mytek.tn/smartphone-samsung-galaxy-a04s-4go-64go-cuivre.html,samsung,galaxy a04s,4go,64gb,copper,abonnement global 12 mois,mytek,retired,599.0,2023-11-05
samsung-galaxya144g,samsung-galaxya144g-4go-64gb-green,Smartphone SAMSUNG GALAXY A14 4G 4Go 64Go - Vert,https://www.mytek.tn/smartphone-samsung-galaxy-a14-5g-4go-64go-vert.html,samsung,galaxy a14 4g,4go,64gb,green,,mytek,retired,639.0,2023-11-05
samsung-galaxya144g,samsung-galaxya144g-6go-128gb-black,Smartphone SAMSUNG GALAXY A14 4G 6Go 128Go - Noir,https://www.mytek.tn/smartphone-samsung-galaxy-a14-4g-6go-128go-noir.html,samsung,galaxy a14 4g,6go,128gb,black,,mytek,retired,759.0,2023-11-05
samsung-galaxya144g,samsung-galaxya144g-6go-128gb-silver,Smartphone SAMSUNG GALAXY A14 4G 6Go 128Go - Silver,https://www.mytek.tn/smartphone-samsung-galaxy-a14-4g-6go-128go-silver.html,samsung,galaxy a14 4g,6go,128gb,silver,,mytek,retired,759.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-4go-128gb-black,Smartphone SAMSUNG GALAXY A24 4Go 128Go - Noir ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-4go-128go-noir.html,samsung,galaxy a24,4go,128gb,black,,mytek,retired,969.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-4go-128gb-green,Smartphone SAMSUNG GALAXY A24 4Go 128Go - Vert ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-4go-128go-vert.html,samsung,galaxy a24,4go,128gb,green,,mytek,retired,969.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-4go-128gb-silver,Smartphone SAMSUNG GALAXY A24 4Go 128Go - Silver ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-4go-128go-silver.html,samsung,galaxy a24,4go,128gb,silver,,mytek,retired,969.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-6go-128gb-green,Smartphone SAMSUNG GALAXY A24 6Go 128Go - Vert ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-6go-128go-vert.html,samsung,galaxy a24,6go,128gb,green,,mytek,retired,1059.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-6go-128gb-silver,Smartphone SAMSUNG GALAXY A24 6Go 128Go - Silver ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-6go-128go-silver.html,samsung,galaxy a24,6go,128gb,silver,,mytek,retired,1059.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-8go-128gb-black,Smartphone SAMSUNG GALAXY A24 8Go 128Go - Noir ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-8go-128go-noir.html,samsung,galaxy a24,8go,128gb,black,,mytek,retired,1149.0,2023-11-05
samsung-galaxya545g,samsung-galaxya545g-6go-128gb-black,Smartphone SAMSUNG GALAXY A54 5G 6Go 128Go - Noir ,https://www.mytek.tn/smartphone-samsung-galaxy-a54-5g-6go-128go-noir.html,samsung,galaxy a54 5g,6go,128gb,black,,mytek,retired,1869.0,2023-11-05
samsung-galaxya545g,samsung-galaxya545g-8go-128gb-lightgreen,Smartphone SAMSUNG GALAXY A54 5G 8Go 128Go - Vert Clair,https://www.mytek.tn/smartphone-samsung-galaxy-a54-5g-8go-128go-vert-clair.html,samsung,galaxy a54 5g,8go,128gb,light green,,mytek,retired,1999.0,2023-11-05
samsung-galaxys23,samsung-galaxys23-8go-256gb-black,Smartphone SAMSUNG Galaxy S23 8Go 256Go - Noir,https://www.mytek.tn/smartphone-samsung-galaxy-s23-8go-256go-noir.html,samsung,galaxy s23,8go,256gb,black,,mytek,retired,3999.0,2023-11-05
smart-e1,smart-e1-2go-16gb-black,Smartphone SMART E1 2Go 16Go - Noir,https://www.mytek.tn/smartphone-smart-e1-2go-16go-noir.html,smart,e1,2go,16gb,black,,mytek,retired,239.0,2023-11-05
tecno-pop7,tecno-pop7-2go-64gb-blue,Smartphone TECNO Pop 7 2Go 64Go - Bleu,https://www.mytek.tn/smartphone-tecno-pop-7-2go-64go-bleu.html,tecno,pop 7,2go,64gb,blue,,mytek,retired,299.0,2023-11-05
tecno-spark8p,tecno-spark8p-4go-128gb-gold,Smartphone TECNO Spark 8P 4Go 128Go - Gold,https://www.mytek.tn/smartphone-tecno-spark-8p-4go-128g-gold.html,tecno,spark 8p,4go,128gb,gold,,mytek,retired,599.0,2023-11-05
tecno-sparkgo2023,tecno-sparkgo2023-4go-64gb-violet,Smartphone TECNO Spark Go 2023 4Go 64Go - Violet,https://www.mytek.tn/smartphone-tecno-spark-go-2023-4go-64go-violet.html,tecno,spark go 2023,4go,64gb,violet,,mytek,retired,339.0,2023-11-05
vivo-y35,vivo-y35-8go-128gb-black,Smartphone VIVO Y35 8Go 128Go - Noir,https://www.mytek.tn/smartphone-vivo-y35-8go-128go-noir.html,vivo,y35,8go,128gb,black,,mytek,retired,799.0,2023-11-05
vivo-y36,vivo-y36-8go-128gb-gold,Smartphone VIVO Y36 8Go 128Go - Gold,https://www.mytek.tn/smartphone-vivo-y36-8go-128go-gold.html,vivo,y36,8go,128gb,gold,,mytek,retired,749.0,2023-11-05
xiaomi-redmi10,xiaomi-redmi10-6go-128gb-grey,Smartphone XIAOMI Redmi 10 6Go 128Go - Gris,https://www.mytek.tn/smartphone-xiaomi-redmi-10-6go-128go-gris.html,xiaomi,redmi 10,6go,128gb,grey,,mytek,retired,899.0,2023-11-05
xiaomi-redmi10,xiaomi-redmi10-6go-128gb-oceanblue,Smartphone XIAOMI Redmi 10 6Go 128Go - Bleu Océan,https://www.mytek.tn/smartphone-xiaomi-redmi-10-6go-128go-bleu-ocean.html,xiaomi,redmi 10,6go,128gb,ocean blue,,mytek,retired,899.0,2023-11-05
xiaomi-redmi102022,xiaomi-redmi102022-4go-64gb-grey,Smartphone XIAOMI Redmi 10 2022 4Go 64Go - Gris,https://www.mytek.tn/smartphone-xiaomi-redmi-10-2022-4go-64go-gris.html,xiaomi,redmi 10 2022,4go,64gb,grey,,mytek,retired,699.0,2023-11-05
xiaomi-redmi102022,xiaomi-redmi102022-4go-64gb-seablue,Smartphone XIAOMI Redmi 10 2022 4Go 64Go - Bleu Mer,https://www.mytek.tn/smartphone-xiaomi-redmi-10-2022-4go-64go-bleu-mer.html,xiaomi,redmi 10 2022,4go,64gb,sea blue,,mytek,retired,699.0,2023-11-05
xiaomi-redmi12c,xiaomi-redmi12c-4go-128gb-graphitegray,Smartphone XIAOMI Redmi 12C 4Go 128Go - Gris Graphite ,https://www.mytek.tn/smartphone-xiaomi-redmi-12c-4go-128go-gris-graphite.html,xiaomi,redmi 12c,4go,128gb,graphite gray,,mytek,retired,474.0,2023-11-05
xiaomi-redminote12,xiaomi-redminote12-6go-128gb-onyxgray,Smartphone XIAOMI Redmi Note 12 6Go 128Go - Gris Onyx,https://www.mytek.tn/smartphone-xiaomi-redmi-note-12-6go-128go-gris-onyx.html,xiaomi,redmi note 12,6go,128gb,onyx gray,,mytek,retired,799.0,2023-11-05
xiaomi-redminote12,xiaomi-redminote12-8go-256gb-graphitegray,Smartphone XIAOMI Redmi Note 12 8Go 256Go - Gris Graphite,https://www.mytek.tn/smartphone-xiaomi-redmi-note-12-8go-256go-gris-onyx.html,xiaomi,redmi note 12,8go,256gb,graphite gray,,mytek,retired,945.0,2023-11-05
benco-v80,benco-v80-4go-64gb-silver,Smartphone BENCO V80 4Go 64Go - Silver,https://www.mytek.tn/smartphone-benco-v80-4go-64go-silver.html,benco,v80,4go,64gb,silver,,mytek,retired,349.0,2023-11-05
huawei-nova10se,huawei-nova10se-8go-256gb-black,Smartphone HUAWEI Nova 10 SE 8Go 256Go Noir + Haut Parleur Bluetooth Offert,https://www.mytek.tn/smartphone-huawei-nova-10-se-8go-256go-noir-etui-freebuds-5i-phone-stand.html,huawei,nova 10 se,8go,256gb,black,haut parleur bluetooth offert,mytek,retired,1429.0,2023-11-05
huawei-nova11,huawei-nova11-8go-256gb-green,Smartphone HUAWEI Nova 11 8Go 256Go Vert + Freebuds 5,https://www.mytek.tn/smartphone-huawei-nova-11-8go-256go.html,huawei,nova 11,8go,256gb,green,freebuds 5,mytek,retired,2474.0,2023-11-05
huawei-nova11pro,huawei-nova11pro-8go-256gb-black,Smartphone HUAWEI Nova 11 Pro 8Go 256Go - Noir,https://www.mytek.tn/smartphone-huawei-nova-11-pro-8go-256go-noir.html,huawei,nova 11 pro,8go,256gb,black,,mytek,retired,2589.0,2023-11-05
huawei-nova11pro,huawei-nova11pro-8go-256gb-black,Smartphone HUAWEI Nova 11 Pro 8Go 256Go Noir + Freebuds 5,https://www.mytek.tn/smartphone-huawei-nova-11-pro-8go-256go-noir-freebuds-5.html,huawei,nova 11 pro,8go,256gb,black,freebuds 5,mytek,retired,2974.0,2023-11-05
huawei-nova9se,huawei-nova9se-8go-128gb-white,Smartphone HUAWEI Nova 9 SE 8Go 128Go Blanc + SmartWatch Gratuite + Abonnement 12Mois,https://www.mytek.tn/smartphone-huawei-nova-9-se-8go-128go-blanc.html,huawei,nova 9 se,8go,128gb,white,smartwatch gratuite abonnement 12mois,mytek,retired,899.0,2023-11-05
huawei-novay90,huawei-novay90-6go-128gb-blue,Smartphone HUAWEI Nova Y90 6Go 128Go - Bleu,https://www.mytek.tn/smartphone-huawei-nova-y90-6go-128go-bleu.html,huawei,nova y90,6go,128gb,blue,,mytek,retired,849.0,2023-11-05
huawei-novay91,huawei-novay91-8go-256gb-black,Smartphone HUAWEI Nova Y91 8Go 256Go Noir + SmartWatch Gratuite,https://www.mytek.tn/smartphone-huawei-nova-y91-8go-256go-noir.html,huawei,nova y91,8go,256gb,black,smartwatch gratuite,mytek,retired,1149.0,2023-11-05
huawei-novay91,huawei-novay91-8go-256gb-silver,Smartphone HUAWEI Nova Y91 8Go 256Go Silver + Band 8,https://www.mytek.tn/smartphone-huawei-nova-y91-8go-256go-silver-band-8.html,huawei,nova y91,8go,256gb,silver,band 8,mytek,retired,1239.0,2023-11-05
iku-a36,iku-a36-2go-32gb-black,Smartphone IKU A36 2G 32G - Noir,https://www.mytek.tn/smartphone-iku-a36-2g-32g-noir.html,iku,a36,2go,32gb,black,,mytek,retired,419.0,2023-11-05
iku-a4,iku-a4-1go-16gb-grey,Smartphone IKU A4 1Go 16Go - Gris,https://www.mytek.tn/smartphone-iku-a4-1go-16go-gris.html,iku,a4,1go,16gb,grey,,mytek,retired,199.0,2023-11-05
iku-a7,iku-a7-2go-16gb-blue,Smartphone IKU A7 2Go 16Go - Bleu,https://www.mytek.tn/smartphone-iku-a7-2go-16go-bleu.html,iku,a7,2go,16gb,blue,,mytek,retired,259.0,2023-11-05
iku-a704g,iku-a704g-64gb-blue,Smartphone IKU A70 4G 64G - Bleu,https://www.mytek.tn/smartphone-iku-a70-4g-64g-bleu.html,iku,a70,4g,64gb,blue,,mytek,retired,489.0,2023-11-05
infinix-hot11,infinix-hot11-4go-64gb-green,Smartphone INFINIX Hot 11 4Go 64Go - Vert,https://www.mytek.tn/smartphone-infinix-hot-11-4go-64go-vert.html,infinix,hot 11,4go,64gb,green,,mytek,retired,529.0,2023-11-05
infinix-hot12,infinix-hot12-4go-64gb-blue,Smartphone INFINIX HOT 12 4Go 64Go - Bleu,https://www.mytek.tn/smartphone-infinix-hot-12-4go-64go-bleu.html,infinix,hot 12,4go,64gb,blue,,mytek,retired,589.0,2023-11-05
infinix-hot30i,infinix-hot30i-8go-128gb-blue,Smartphone INFINIX HOT 30i 8Go 128Go - Bleu,https://www.mytek.tn/smartphone-infinix-hot-30i-8go-128go-bleu.html,infinix,hot 30i,8go,128gb,blue,,mytek,retired,499.0,2023-11-05
infinix-hot30i,infinix-hot30i-8go-128gb-gold,Smartphone INFINIX HOT 30i 8Go 128Go - Gold,https://www.mytek.tn/smartphone-infinix-hot-30i-8go-128go-gold.html,infinix,hot 30i,8go,128gb,gold,,mytek,retired,499.0,2023-11-05
infinix-hot30i,infinix-hot30i-8go-128gb-white,Smartphone INFINIX HOT 30i 8Go 128Go - Blanc,https://www.mytek.tn/smartphone-infinix-hot-30i-8go-128go-blanc.html,infinix,hot 30i,8go,128gb,white,,mytek,retired,499.0,2023-11-05
infinix-note304g,infinix-note304g-8go-256gb-black,Smartphone INFINIX Note 30 4G 8Go 256Go - Noir,https://www.mytek.tn/smartphone-infinix-note-30-4g-8go-256go-noir.html,infinix,note 30 4g,8go,256gb,black,,mytek,retired,739.0,2023-11-05
infinix-smart7,infinix-smart7-4go-64gb-black,Smartphone INFINIX SMART 7 4Go 64Go - Noir,https://www.mytek.tn/smartphone-infinix-smart-7-4go-64go-noir.html,infinix,smart 7,4go,64gb,black,,mytek,retired,379.0,2023-11-05
infinix-smart7,infinix-smart7-4go-64gb-green,Smartphone INFINIX SMART 7 4Go 64Go - Vert,https://www.mytek.tn/smartphone-infinix-smart-7-4go-64go-vert.html,infinix,smart 7,4go,64gb,green,,mytek,retired,379.0,2023-11-05
infinix-smart7hd,infinix-smart7hd-2go-64gb-black,Smartphone INFINIX SMART 7 HD 2Go 64Go - Noir,https://www.mytek.tn/smartphone-infinix-smart-7-hd-2go-64go-noir.html,infinix,smart 7 hd,2go,64gb,black,,mytek,retired,299.0,2023-11-05
infinix-smart7hd,infinix-smart7hd-2go-64gb-blue,Smartphone INFINIX SMART 7 HD 2Go 64Go - Bleu,https://www.mytek.tn/smartphone-infinix-smart-7-hd-2go-64go-bleu.html,infinix,smart 7 hd,2go,64gb,blue,,mytek,retired,299.0,2023-11-05
itel-a60s,itel-a60s-2go-64gb-green,Smartphone ITEL A60s 2Go 64Go - Vert,https://www.mytek.tn/smartphone-itel-a60s-4go-64go-vert.html,itel,a60s,2go,64gb,green,,mytek,retired,285.0,2023-11-05
itel-s23,itel-s23-8go-128gb-black,Smartphone ITEL S23 8Go 128Go - Noir,https://www.mytek.tn/smartphone-itel-s23-8go-128go-noir.html,itel,s23,8go,128gb,black,,mytek,retired,429.0,2023-11-05
kxd-d26,kxd-d26-2go-32gb-black,Smartphone KXD D26 2Go 32Go - Noir,https://www.mytek.tn/smartphone-kxd-d26-2go-32go-noir.html,kxd,d26,2go,32gb,black,,mytek,retired,259.0,2023-11-05
kxd-d26,kxd-d26-2go-32gb-blue,Smartphone KXD D26 2Go 32Go - Bleu,https://www.mytek.tn/smartphone-kxd-d26-2go-32go-bleu.html,kxd,d26,2go,32gb,blue,,mytek,retired,259.0,2023-11-05
kxd-d26,kxd-d26-2go-32gb-silver,Smartphone KXD D26 2Go 32Go - Silver,https://www.mytek.tn/smartphone-kxd-d26-2go-32go-silver.html,kxd,d26,2go,32gb,silver,,mytek,retired,259.0,2023-11-05
nokia-c22emeedition,nokia-c22emeedition-2go-32gb-blue,Smartphone NOKIA C2 2ème Édition 2Go 32Go - Bleu,https://www.mytek.tn/smartphone-nokia-c2-2eme-edition-2go-32go-bleu.html,nokia,c2 2eme edition,2go,32gb,blue,,mytek,retired,218.0,2023-11-05
oneplus-nordce5g,oneplus-nordce5g-12go-256gb-black,Smartphone ONEPLUS Nord CE 5G 12Go 256Go - Noir,https://www.mytek.tn/smartphone-oneplus-nord-ce-5g-12go-256go-noir.html,oneplus,nord ce 5g,12go,256gb,black,,mytek,retired,999.0,2023-11-05
oppo-a17,oppo-a17-4go-64gb-black,Smartphone OPPO A17 4Go 64Go Noir + Abonnement 12Mois,https://www.mytek.tn/smartphone-oppo-a17-4go-64go-noir.html,oppo,a17,4go,64gb,black,abonnement 12mois,mytek,retired,579.0,2023-11-05
oppo-a96,oppo-a96-8go-256gb-blue,Smartphone OPPO A96 8Go 256Go Bleu + Abonnement 12 Mois ,https://www.mytek.tn/smartphone-oppo-a96-256go-8go-bleu.html,oppo,a96,8go,256gb,blue,abonnement 12 mois,mytek,retired,1069.0,2023-11-05
oppo-reno8t4g,oppo-reno8t4g-8go-256gb-black,Smartphone OPPO Reno8 T 4G 8Go 256Go Noir + Abonnement 12Mois,https://www.mytek.tn/smartphone-oppo-reno-8t-4g-8go-256go-noir.html,oppo,reno8 t 4g,8go,256gb,black,abonnement 12mois,mytek,retired,1179.0,2023-11-05
oukitel-wp20,oukitel-wp20-4go-32gb-blackgreen,Smartphone OUKITEL WP20 4Go 32Go Noir&Vert + Global IPTV Pro + Protection écran ,https://www.mytek.tn/smartphone-oukitel-wp20-4go-32go-noir-et-vert.html,oukitel,wp20,4go,32gb,black green,global iptv pro protection ecran,mytek,retired,539.0,2023-11-05
samsung-galaxya04,samsung-galaxya04-4go-128gb-black,Smartphone SAMSUNG GALAXY A04 4Go 128Go - Noir,https://www.mytek.tn/smartphone-samsung-galaxy-a04-4go-128go-noir.html,samsung,galaxy a04,4go,128gb,black,,mytek,retired,499.0,2023-11-05
samsung-galaxya144g,samsung-galaxya144g-4go-64gb-black,Smartphone SAMSUNG GALAXY A14 4G 4Go 64Go - Noir,https://www.mytek.tn/smartphone-samsung-galaxy-a14-5g-4go-64go-noir.html,samsung,galaxy a14 4g,4go,64gb,black,,mytek,retired,639.0,2023-11-05
samsung-galaxya144g,samsung-galaxya144g-4go-64gb-silver,Smartphone SAMSUNG GALAXY A14 4G 4Go 64Go - Silver,https://www.mytek.tn/smartphone-samsung-galaxy-a14-4g-4go-64go-silver.html,samsung,galaxy a14 4g,4go,64gb,silver,,mytek,retired,639.0,2023-11-05
samsung-galaxya144g,samsung-galaxya144g-6go-128gb-green,Smartphone SAMSUNG GALAXY A14 4G 6Go 128Go - Vert,https://www.mytek.tn/smartphone-samsung-galaxy-a14-5g-6go-128go-vert.html,samsung,galaxy a14 4g,6go,128gb,green,,mytek,retired,759.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-6go-128gb-black,Smartphone SAMSUNG GALAXY A24 6Go 128Go - Noir ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-6go-128go-noir.html,samsung,galaxy a24,6go,128gb,black,,mytek,retired,1059.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-8go-128gb-green,Smartphone SAMSUNG GALAXY A24 8Go 128Go - Vert ,https://www.mytek.tn/smartphone-samsung-galaxy-a24-8go-128go-vert.html,samsung,galaxy a24,8go,128gb,green,,mytek,retired,1149.0,2023-11-05
samsung-galaxya24,samsung-galaxya24-8go-128gb-silver,Smartphone SAMSUNG GALAXY A24 8Go 128Go - Silver,https://www.mytek.tn/smartphone-samsung-galaxy-a24-8go-128go-silver.html,samsung,galaxy a24,8go,128gb,silver,,mytek,retired,1149.0,2023-11-05
