spacenet_scrapy_persist.reference_global,spacenet_scrapy_persist.reference_detail,spacenet_scrapy_persist.ad_title,spacenet_scrapy_persist.ad_url,spacenet_scrapy_persist.marque,spacenet_scrapy_persist.modele,spacenet_scrapy_persist.ram,spacenet_scrapy_persist.stockage,spacenet_scrapy_persist.couleur,spacenet_scrapy_persist.options,spacenet_scrapy_persist.shop,spacenet_scrapy_persist.ad_stocks,spacenet_scrapy_persist.ad_price,spacenet_scrapy_persist.date_scrapy
iku-a7,iku-a7-2go-16gb-black,Smartphone IKU A7 2Go 16Go Noir,https://spacenet.tn/smartphone-tunisie/49374-smartphone-iku-a7-2go-16go-noir.html,iku,a7,2go,16gb,black,,spacenet,ARRIVING,141.0,13/01/2024
iku-a7,iku-a7-2go-16gb-blue,Smartphone IKU A7 2Go 16Go Bleu,https://spacenet.tn/smartphone-tunisie/49376-smartphone-iku-a7-2go-16go-noir.html,iku,a7,2go,16gb,blue,,spacenet,RETIRED,269.0,13/01/2024
infinix-smart7,infinix-smart7-2go-64gb-black,Smartphone Infinix Smart 7 2Go 64Go Noir,https://spacenet.tn/smartphone-tunisie/57663-smartphone-infinix-smart-7-2go-64go-noir.html,infinix,smart 7,2go,64gb,black,,spacenet,RETIRED,70.0,13/01/2024
itel-a18,itel-a18-1go-32gb-green,Smartphone Itel A18 1Go 32Go Vert,https://spacenet.tn/smartphone-tunisie/58655-smartphone-itel-a18-1go-32go-vert.html,itel,a18,1go,32gb,green,,spacenet,RETIRED,30.0,13/01/2024
itel-s23,itel-s23-4go-128gb-white,Smartphone Itel S23 4Go 128Go Blanc,https://spacenet.tn/smartphone-tunisie/57605-smartphone-itel-s23-4go-128go-blanc.html,itel,s23,4go,128gb,white,,spacenet,RETIRED,140.0,13/01/2024
samsung-galaxya04,samsung-galaxya04-3go-32gb-black,Smartphone Samsung Galaxy A04 3Go 32Go Noir,https://spacenet.tn/smartphone-tunisie/52426-smartphone-samsung-galaxy-a04-3go-32go-noir.html,samsung,galaxy a04,3go,32gb,black,,spacenet,RETIRED,499.0,13/01/2024
samsung-galaxys23,samsung-galaxys23-8go-256gb-cream,Smartphone Samsung Galaxy S23+ 8Go 256Go Crème,https://spacenet.tn/smartphone-tunisie/55175-smartphone-samsung-galaxy-s23-8go-256go-creme.html,samsung,galaxy s23,8go,256gb,cream,,spacenet,RETIRED,3599.0,13/01/2024
samsung-galaxys23,samsung-galaxys23-8go-256gb-green,Smartphone Samsung Galaxy S23 8Go 256Go Vert,https://spacenet.tn/smartphone-tunisie/54259-smartphone-samsung-galaxy-s23-8go-256go-vert.html,samsung,galaxy s23,8go,256gb,green,,spacenet,RETIRED,200.0,13/01/2024
samsung-galaxys23,samsung-galaxys23-8go-256gb-green,Smartphone Samsung Galaxy S23+ 8Go 256Go Vert,https://spacenet.tn/smartphone-tunisie/54264-smartphone-samsung-galaxy-s23-8go-256go-vert.html,samsung,galaxy s23,8go,256gb,green,,spacenet,RETIRED,400.0,13/01/2024
samsung-galaxys23,samsung-galaxys23-8go-256gb-violet,Smartphone Samsung Galaxy S23 8Go 256Go Violet,https://spacenet.tn/smartphone-tunisie/54261-smartphone-samsung-galaxy-s23-8go-256go-violet.html,samsung,galaxy s23,8go,256gb,violet,,spacenet,RETIRED,3599.0,13/01/2024
samsung-galaxys23ultra,samsung-galaxys23ultra-12go-256gb-beige,Smartphone Samsung Galaxy S23 Ultra 12Go 256Go Beige,https://spacenet.tn/smartphone-tunisie/54581-smartphone-samsung-galaxy-s23-ultra-12go-256go-beige.html,samsung,galaxy s23 ultra,12go,256gb,beige,,spacenet,RETIRED,700.0,13/01/2024
samsung-galaxys23ultra,samsung-galaxys23ultra-12go-256gb-black,Smartphone Samsung Galaxy S23 Ultra 12Go 256Go Noir,https://spacenet.tn/smartphone-tunisie/54268-smartphone-samsung-galaxy-s23-ultra-12go-256go-noir.html,samsung,galaxy s23 ultra,12go,256gb,black,,spacenet,RETIRED,5399.0,13/01/2024
samsung-galaxys23ultra,samsung-galaxys23ultra-12go-256gb-green,Smartphone Samsung Galaxy S23 Ultra 12Go 256Go Vert,https://spacenet.tn/smartphone-tunisie/54580-smartphone-samsung-galaxy-s23-ultra-12go-256go-vert.html,samsung,galaxy s23 ultra,12go,256gb,green,,spacenet,RETIRED,6099.0,13/01/2024
xiaomi-redminote12,xiaomi-redminote12-6go-128gb-blue,Smartphone Xiaomi Redmi Note 12 6Go 128Go Bleu,https://spacenet.tn/smartphone-tunisie/56548-smartphone-xiaomi-redmi-note-12-6go-128go-bleu.html,xiaomi,redmi note 12,6go,128gb,blue,,spacenet,RETIRED,789.0,13/01/2024
xiaomi-redminote12,xiaomi-redminote12-6go-128gb-grey,Smartphone Xiaomi Redmi Note 12 6Go 128Go Gris,https://spacenet.tn/smartphone-tunisie/56549-smartphone-xiaomi-redmi-note-12-6go-128go-gris.html,xiaomi,redmi note 12,6go,128gb,grey,,spacenet,RETIRED,789.0,13/01/2024
xiaomi-redminote12,xiaomi-redminote12-8go-128gb-blue,Smartphone Xiaomi Redmi Note 12 8Go 128Go Bleu,https://spacenet.tn/smartphone-tunisie/59592-smartphone-xiaomi-redmi-note-12-8go-128go-bleu.html,xiaomi,redmi note 12,8go,128gb,blue,,spacenet,RETIRED,849.0,13/01/2024
xiaomi-redminote12pro,xiaomi-redminote12pro-8go-128gb-black,Smartphone Xiaomi Redmi Note 12 Pro 8Go 128Go Noir,https://spacenet.tn/smartphone-tunisie/56579-smartphone-xiaomi-redmi-note-12-pro-8go-128go-noir.html,xiaomi,redmi note 12 pro,8go,128gb,black,,spacenet,RETIRED,400.0,13/01/2024
xiaomi-redminote12pro5g,xiaomi-redminote12pro5g-8go-256gb-blue,Smartphone Xiaomi Redmi Note 12 Pro+ 5G 8Go 256Go Bleu,https://spacenet.tn/smartphone-tunisie/56578-smartphone-xiaomi-redmi-note-12-pro-5g-8go-256go-bleu.html,xiaomi,redmi note 12 pro 5g,8go,256gb,blue,,spacenet,RETIRED,1399.0,13/01/2024
xiaomi-redminote12pro5g,xiaomi-redminote12pro5g-8go-256gb-white,Smartphone Xiaomi Redmi Note 12 Pro+ 5G 8Go 256Go Blanc,https://spacenet.tn/smartphone-tunisie/60392-smartphone-xiaomi-redmi-note-12-pro-5g-8go-256go-blanc.html,xiaomi,redmi note 12 pro 5g,8go,256gb,white,,spacenet,RETIRED,1599.0,13/01/2024
energizer-e2,energizer-e2-black,Téléphone Portable Energizer E2 Noir,https://spacenet.tn/telephone-portable-tunisie/60259-telephone-portable-energizer-e2-noir.html,energizer,e2,,,black,,spacenet,INSTOCK,41.9,13/01/2024
ipro-a1mini,ipro-a1mini-red,Téléphone Portable IPRO A1 Mini - Rouge,https://spacenet.tn/telephone-portable-tunisie/60399-telephone-portable-ipro-a1-mini-rouge.html,ipro,a1 mini,,,red,,spacenet,ONDEMAND,42.9,13/01/2024
ipro-a1mini,ipro-a1mini-blue,Téléphone Portable IPRO A1 Mini - Bleu,https://spacenet.tn/telephone-portable-tunisie/60398-telephone-portable-ipro-a1-mini-bleu.html,ipro,a1 mini,,,blue,,spacenet,INSTOCK,42.9,13/01/2024
ipro-a1mini,ipro-a1mini-black,Téléphone Portable IPRO A1 Mini - Noir,https://spacenet.tn/telephone-portable-tunisie/60397-telephone-portable-ipro-a1-mini-noir.html,ipro,a1 mini,,,black,,spacenet,INSTOCK,42.9,13/01/2024
energizer-e3,energizer-e3-black,Téléphone Portable Energizer E3 Noir,https://spacenet.tn/telephone-portable-tunisie/60260-telephone-portable-energizer-e3-noir.html,energizer,e3,,,black,,spacenet,INSTOCK,44.9,13/01/2024
energizer-e4,energizer-e4-black,Téléphone Portable Energizer E4 Noir,https://spacenet.tn/telephone-portable-tunisie/60261-telephone-portable-energizer-e4-noir.html,energizer,e4,,,black,,spacenet,INSTOCK,47.9,13/01/2024
ipro-a18,ipro-a18-black&green,Téléphone Portable IPRO  A18 - Noir & Vert,https://spacenet.tn/telephone-portable-tunisie/60688-telephone-portable-ipro-a18-noir-vert.html,ipro,a18,,,black & green,,spacenet,INSTOCK,49.0,13/01/2024
ipro-a18,ipro-a18-black,Téléphone Portable IPRO  A18 - Noir,https://spacenet.tn/telephone-portable-tunisie/60681-telephone-portable-ipro-a18-noir.html,ipro,a18,,,black,,spacenet,INSTOCK,49.0,13/01/2024
ipro-a7mini,ipro-a7mini-black&blue,Téléphone Portable IPRO A7 Mini - Noir & Bleu,https://spacenet.tn/telephone-portable-tunisie/60406-telephone-portable-ipro-a7-mini-noir-bleu.html,ipro,a7 mini,,,black & blue,,spacenet,INSTOCK,49.0,13/01/2024
ipro-a7mini,ipro-a7mini-black&green,Téléphone Portable IPRO A7 Mini - Noir & Vert,https://spacenet.tn/telephone-portable-tunisie/60405-telephone-portable-ipro-a7-mini-noir-vert.html,ipro,a7 mini,,,black & green,,spacenet,INSTOCK,49.0,13/01/2024
ipro-a7mini,ipro-a7mini-blue,Téléphone Portable IPRO A7 Mini - Bleu,https://spacenet.tn/telephone-portable-tunisie/60404-telephone-portable-ipro-a7-mini-bleu.html,ipro,a7 mini,,,blue,,spacenet,INSTOCK,49.0,13/01/2024
ipro-a7mini,ipro-a7mini-red,Téléphone Portable IPRO A7 Mini - Rouge,https://spacenet.tn/telephone-portable-tunisie/60403-telephone-portable-ipro-a7-mini-rouge.html,ipro,a7 mini,,,red,,spacenet,INSTOCK,49.0,13/01/2024
ipro-a7mini,ipro-a7mini-black,Téléphone Portable IPRO A7 Mini - Noir,https://spacenet.tn/telephone-portable-tunisie/60402-telephone-portable-ipro-a7-mini-noir.html,ipro,a7 mini,,,black,,spacenet,INSTOCK,49.0,13/01/2024
ipro-a18,ipro-a18-blue,Téléphone Portable IPRO  A18 - Bleu,https://spacenet.tn/telephone-portable-tunisie/60689-telephone-portable-ipro-a18-bleu.html,ipro,a18,,,blue,,spacenet,INSTOCK,49.0,13/01/2024
ipro-a18,ipro-a18-black&red,Téléphone Portable IPRO  A18 - Noir & Rouge,https://spacenet.tn/telephone-portable-tunisie/60690-telephone-portable-ipro-a18-noir-rouge.html,ipro,a18,,,black & red,,spacenet,INSTOCK,49.0,13/01/2024
ipro-a20,ipro-a20-black,Téléphone Portable IPRO A20 - Noir,https://spacenet.tn/telephone-portable-tunisie/60409-telephone-portable-ipro-a20-noir.html,ipro,a20,,,black,,spacenet,INSTOCK,59.0,13/01/2024
ipro-a20,ipro-a20-red,Téléphone Portable IPRO A20 - Rouge,https://spacenet.tn/telephone-portable-tunisie/60410-telephone-portable-ipro-a20-rouge.html,ipro,a20,,,red,,spacenet,INSTOCK,59.0,13/01/2024
ipro-a20,ipro-a20-white,Téléphone Portable IPRO A20 - Blanc,https://spacenet.tn/telephone-portable-tunisie/60411-telephone-portable-ipro-a20-blanc.html,ipro,a20,,,white,,spacenet,INSTOCK,59.0,13/01/2024
ipro-a20,ipro-a20-blue,Téléphone Portable IPRO A20 - Bleu,https://spacenet.tn/telephone-portable-tunisie/60412-telephone-portable-ipro-a20-bleu.html,ipro,a20,,,blue,,spacenet,INSTOCK,59.0,13/01/2024
ipro-a20,ipro-a20-grey,Téléphone Portable IPRO A20 - Gris,https://spacenet.tn/telephone-portable-tunisie/60413-telephone-portable-ipro-a20-gris.html,ipro,a20,,,grey,,spacenet,INSTOCK,59.0,13/01/2024
energizer-e28,energizer-e28-black,Téléphone Portable Energizer E28 Noir,https://spacenet.tn/telephone-portable-tunisie/60262-telephone-portable-energizer-e28-noir.html,energizer,e28,,,black,,spacenet,INSTOCK,65.9,13/01/2024
ipro-iprof183,ipro-iprof183-black,Téléphone Portable IPRO IPRO F183 Avec Support - Noir,https://spacenet.tn/telephone-portable-tunisie/60407-telephone-portable-ipro-ipro-f183-avec-support-noir.html,ipro,ipro f183,,,black,avec support,spacenet,INSTOCK,69.0,13/01/2024
nokia-1062023,nokia-1062023-green,Téléphone Portable Nokia 106 2023 - Vert,https://spacenet.tn/telephone-portable-tunisie/59150-telephone-portable-nokia-106-2023-vert.html,nokia,1 062 023,,,green,,spacenet,INSTOCK,79.0,13/01/2024
nokia-1062023,nokia-1062023-red,Téléphone Portable Nokia 106 2023 - Rouge,https://spacenet.tn/telephone-portable-tunisie/59148-telephone-portable-nokia-106-2023-rouge.html,nokia,1 062 023,,,red,,spacenet,INSTOCK,79.0,13/01/2024
nokia-1062023,nokia-1062023-black,Téléphone Portable Nokia 106 2023 - Noir,https://spacenet.tn/telephone-portable-tunisie/59145-telephone-portable-nokia-106-2023-noir.html,nokia,1 062 023,,,black,,spacenet,INSTOCK,79.0,13/01/2024
ami-c14,ami-c14-green,Téléphone Portable AMI C14 Power Bank Vert Foncé,https://spacenet.tn/telephone-portable-tunisie/58559-telephone-portable-ami-c14-power-bank-vert-fonce.html,ami,c14,,,green,power bank,spacenet,INSTOCK,79.0,13/01/2024
ami-c14,ami-c14-black&silver,Téléphone Portable AMI C14 Power Bank Noir&Silver,https://spacenet.tn/telephone-portable-tunisie/58558--telephone-portable-ami-c14-power-bank-noirsilver.html,ami,c14,,,black&silver,power bank,spacenet,ONDEMAND,79.0,13/01/2024
iku-s10,iku-s10-black,Téléphone Portable IKU S10 Noir,https://spacenet.tn/telephone-portable-tunisie/41690-telephone-portable-iku-s10-noir.html,iku,s10,,,black,,spacenet,ONDEMAND,79.0,13/01/2024
iku-s10,iku-s10-blue,SMARTPHONE IKU S10 DOUBLE SIM - BLEU,https://spacenet.tn/telephone-portable-tunisie/36198-smartphone-iku-s10-double-sim-bleu.html,iku,s10,,,blue,double sim,spacenet,ONDEMAND,79.0,13/01/2024
ami-c14,ami-c14-darkblue,Téléphone Portable AMI C14 Power Bank Bleu Foncé,https://spacenet.tn/telephone-portable-tunisie/65895-telephone-portable-ami-c14-power-bank-bleu-fonce.html,ami,c14,,,dark blue,power bank,spacenet,ONDEMAND,79.0,13/01/2024
ipro-v10,ipro-v10-red,Téléphone Portable IPRO V10 Rouge,https://spacenet.tn/telephone-portable-tunisie/50968-telephone-portable-ipro-v10-rouge.html,ipro,v10,,,red,,spacenet,INSTOCK,89.0,13/01/2024
nokia-110,nokia-110-blue,Téléphone Portable Nokia 110 - Bleu,https://spacenet.tn/telephone-portable-tunisie/43823-telephone-portable-nokia-110-bleu.html,nokia,110,,,blue,,spacenet,INSTOCK,89.0,13/01/2024
ipro-v10,ipro-v10-blue,Téléphone Portable IPRO V10 Bleu,https://spacenet.tn/telephone-portable-tunisie/50969-telephone-portable-ipro-v10-bleu.html,ipro,v10,,,blue,,spacenet,INSTOCK,89.0,13/01/2024
nokia-110,nokia-110-green,Téléphone Portable Nokia 110 Vert,https://spacenet.tn/telephone-portable-tunisie/54451-telephone-portable-nokia-110-vert.html,nokia,110,,,green,,spacenet,INSTOCK,89.0,13/01/2024
nokia-1102023,nokia-1102023-black,Téléphone Portable Nokia 110 2023 - Noir,https://spacenet.tn/telephone-portable-tunisie/59155-telephone-portable-nokia-110-2023-noir.html,nokia,1 102 023,,,black,,spacenet,INSTOCK,99.0,13/01/2024
nokia-1102023,nokia-1102023-blue,Téléphone Portable Nokia 110 2023 - Bleu,https://spacenet.tn/telephone-portable-tunisie/59157-telephone-portable-nokia-110-2023-bleu.html,nokia,1 102 023,,,blue,,spacenet,INSTOCK,99.0,13/01/2024
nokia-130,nokia-130-violet,Téléphone Portable Nokia 130 Violet,https://spacenet.tn/telephone-portable-tunisie/67900-telephone-portable-nokia-130-violet.html,nokia,130,,,violet,,spacenet,INSTOCK,109.0,13/01/2024
nokia-130,nokia-130-gold,Téléphone Portable Nokia 130 Gold,https://spacenet.tn/telephone-portable-tunisie/67901-telephone-portable-nokia-130-gold.html,nokia,130,,,gold,,spacenet,INSTOCK,109.0,13/01/2024
nokia-130,nokia-130-blue,Téléphone Portable Nokia 130 Bleu,https://spacenet.tn/telephone-portable-tunisie/67898-telephone-portable-nokia-130-bleu.html,nokia,130,,,blue,,spacenet,INSTOCK,109.0,13/01/2024
ipro-sharkii,ipro-sharkii-blue,Téléphone Portable IPRO Shark II Bleu,https://spacenet.tn/telephone-portable-tunisie/53306-telephone-portable-ipro-a21-mini-orange.html,ipro,shark ii,,,blue,,spacenet,INSTOCK,119.0,13/01/2024
ipro-sharkii,ipro-sharkii-black,Téléphone Portable IPRO Shark II Noir,https://spacenet.tn/telephone-portable-tunisie/53307-telephone-portable-ipro-shark-ii-noir.html,ipro,shark ii,,,black,,spacenet,INSTOCK,119.0,13/01/2024
nokia-1502023,nokia-1502023-red,Téléphone Portable Nokia 150 2023 Rouge,https://spacenet.tn/telephone-portable-tunisie/67922-telephone-portable-nokia-150-2023-rouge.html,nokia,1 502 023,,,red,,spacenet,INSTOCK,149.0,13/01/2024
nokia-1502023,nokia-1502023-black,Téléphone Portable Nokia 150 2023 Noir,https://spacenet.tn/telephone-portable-tunisie/67907-telephone-portable-nokia-150-2023-noir.html,nokia,1 502 023,,,black,,spacenet,INSTOCK,149.0,13/01/2024
nokia-1502023,nokia-1502023-blue,Téléphone Portable Nokia 150 2023 Bleu,https://spacenet.tn/telephone-portable-tunisie/67921-telephone-portable-nokia-150-2023-bleu.html,nokia,1 502 023,,,blue,,spacenet,INSTOCK,149.0,13/01/2024
nokia-c1,nokia-c1-1go-16gb-grey,Smartphone Nokia C1 1Go 16 Go Gris,https://spacenet.tn/smartphone-tunisie/45066-smartphone-nokia-c1-1go-16-go-gris.html,nokia,c1,1go,16gb,grey,,spacenet,ONDEMAND,189.0,13/01/2024
nokia-c1,nokia-c1-1go-16gb-blue,Smartphone Nokia C1 1Go 16 Go Bleu,https://spacenet.tn/smartphone-tunisie/45164--smartphone-nokia-c1-1go-16-go-bleu.html,nokia,c1,1go,16gb,blue,,spacenet,ONDEMAND,30.0,13/01/2024
kxd-a1,kxd-a1-1go-16gb-blue,Smartphone KXD A1 1Go 16Go Bleu,https://spacenet.tn/smartphone-tunisie/58531-smartphone-kxd-a1-1go-16go-bleu.html,kxd,a1,1go,16gb,blue,,spacenet,INSTOCK,159.0,13/01/2024
kxd-a1,kxd-a1-1go-16gb-black,Smartphone KXD A1 1Go 16Go Noir,https://spacenet.tn/smartphone-tunisie/58532-smartphone-kxd-a1-1go-16go-noir.html,kxd,a1,1go,16gb,black,,spacenet,INSTOCK,189.0,13/01/2024
itel-a18,itel-a18-1go-32gb-green,Smartphone Itel A18 1Go 32Go Vert,https://spacenet.tn/smartphone-tunisie/58655-smartphone-itel-a18-1go-32go-vert.html,itel,a18,1go,32gb,green,,spacenet,ONDEMAND,30.0,13/01/2024
nokia-6310,nokia-6310-yellow,Téléphone Portable Nokia 6310 - Jaune,https://spacenet.tn/telephone-portable-tunisie/44001-telephone-portable-nokia-6310-jaune.html,nokia,6310,,,yellow,,spacenet,INSTOCK,159.0,13/01/2024
nokia-6310,nokia-6310-black,Téléphone Portable Nokia 6310 - Noir,https://spacenet.tn/telephone-portable-tunisie/43997-telephone-portable-nokia-6310-noir.html,nokia,6310,,,black,,spacenet,INSTOCK,189.0,13/01/2024
nokia-6310,nokia-6310-green,Téléphone Portable Nokia 6310 - Vert,https://spacenet.tn/telephone-portable-tunisie/44000-telephone-portable-nokia-6310-vert.html,nokia,6310,,,green,,spacenet,OUTOFSTOCK,189.0,13/01/2024
itel-a18,itel-a18-1go-32gb-blue,Smartphone Itel A18 1Go 32Go Bleu,https://spacenet.tn/smartphone-tunisie/58653-smartphone-itel-a18-1go-32go-bleu.html,itel,a18,1go,32gb,blue,,spacenet,INSTOCK,189.0,13/01/2024
nokia-c22eedition,nokia-c22eedition-2go-32gb-blue,Smartphone Nokia C2 2e édition 2Go 32Go Bleu,https://spacenet.tn/smartphone-tunisie/48618-smartphone-nokia-c2-2e-edition-2go-32go-bleu.html,nokia,c2 2e edition,2go,32gb,blue,,spacenet,INSTOCK,189.0,13/01/2024
nokia-c22eedition,nokia-c22eedition-2go-32gb-grey,Smartphone Nokia C2 2e édition 2Go 32Go Gris,https://spacenet.tn/smartphone-tunisie/48615-smartphone-nokia-c2-2e-edition-2go-32go-gris.html,nokia,c2 2e edition,2go,32gb,grey,,spacenet,INSTOCK,189.0,13/01/2024
smart-e1,smart-e1-2go-16gb-green,Smartphone Smart E1 2Go 16Go Vert,https://spacenet.tn/smartphone-tunisie/51715-smartphone-smart-e1-2go-16go-vert.html,smart,e1,2go,16gb,green,,spacenet,INSTOCK,189.0,13/01/2024
smart-e1,smart-e1-2go-16gb-black,Smartphone Smart E1 2Go 16Go Noir,https://spacenet.tn/smartphone-tunisie/51714-smartphone-smart-e1-2go-16go-noir.html,smart,e1,2go,16gb,black,,spacenet,INSTOCK,189.0,13/01/2024
smart-e1,smart-e1-2go-16gb-blue,Smartphone Smart E1 2Go 16Go Bleu,https://spacenet.tn/smartphone-tunisie/51716-smartphone-smart-e1-2go-16go-bleu.html,smart,e1,2go,16gb,blue,,spacenet,INSTOCK,339.0,13/01/2024
iku-a7,iku-a7-2go-16gb-black,Smartphone IKU A7 2Go 16Go Noir,https://spacenet.tn/smartphone-tunisie/49374-smartphone-iku-a7-2go-16go-noir.html,iku,a7,2go,16gb,black,,spacenet,ARRIVING,141.0,13/01/2024
iku-a7plus,iku-a7plus-2go-16gb-blue,Smartphone IKU A7 Plus 2Go 16Go Bleu,https://spacenet.tn/smartphone-tunisie/60880-smartphone-iku-a7-plus-2go-16go-bleu.html,iku,a7 plus,2go,16gb,blue,,spacenet,ARRIVING,198.0,13/01/2024
iku-a7plus,iku-a7plus-2go-16gb-grey,Smartphone IKU A7 Plus 2Go 16Go Gris,https://spacenet.tn/smartphone-tunisie/60882-smartphone-iku-a7-plus-2go-16go-gris.html,iku,a7 plus,2go,16gb,grey,,spacenet,ARRIVING,259.0,13/01/2024
iku-a7plus,iku-a7plus-2go-16gb-green,Smartphone IKU A7 Plus 2Go 16Go Vert,https://spacenet.tn/smartphone-tunisie/60878-smartphone-iku-a7-plus-2go-16go-vert.html,iku,a7 plus,2go,16gb,green,,spacenet,ARRIVING,259.0,13/01/2024
iku-a7,iku-a7-2go-16gb-gold,Smartphone IKU A7 2Go 16Go Gold,https://spacenet.tn/smartphone-tunisie/49361-smartphone-iku-a7-2go-16go-gold.html,iku,a7,2go,16gb,gold,,spacenet,ARRIVING,269.0,13/01/2024
iku-a7,iku-a7-2go-16gb-blue,Smartphone IKU A7 2Go 16Go Bleu,https://spacenet.tn/smartphone-tunisie/49376-smartphone-iku-a7-2go-16go-noir.html,iku,a7,2go,16gb,blue,,spacenet,ONDEMAND,269.0,13/01/2024
smart-e2,smart-e2-2go-32gb-blue,Smartphone Smart E2 2Go 32Go Bleu,https://spacenet.tn/smartphone-tunisie/51728-smartphone-smart-e2-2go-32go-bleu.html,smart,e2,2go,32gb,blue,,spacenet,ONDEMAND,349.0,13/01/2024
infinix-smart7,infinix-smart7-2go-64gb-black,Smartphone Infinix Smart 7 2Go 64Go Noir,https://spacenet.tn/smartphone-tunisie/57663-smartphone-infinix-smart-7-2go-64go-noir.html,infinix,smart 7,2go,64gb,black,,spacenet,ONDEMAND,70.0,13/01/2024
infinix-smart7,infinix-smart7-2go-64gb-white,Smartphone Infinix Smart 7 2Go 64Go Blanc,https://spacenet.tn/smartphone-tunisie/57665-smartphone-infinix-smart-7-2go-64go-blanc.html,infinix,smart 7,2go,64gb,white,,spacenet,ONDEMAND,279.0,13/01/2024
infinix-smart7,infinix-smart7-2go-64gb-green,Smartphone Infinix Smart 7 2Go 64Go Vert,https://spacenet.tn/smartphone-tunisie/57666-smartphone-infinix-smart-7-2go-64go-vert.html,infinix,smart 7,2go,64gb,green,,spacenet,ONDEMAND,279.0,13/01/2024
infinix-smart7,infinix-smart7-2go-64gb-blue,Smartphone Infinix Smart 7 2Go 64Go Bleu,https://spacenet.tn/smartphone-tunisie/57669-smartphone-infinix-smart-7-2go-64go-bleu.html,infinix,smart 7,2go,64gb,blue,,spacenet,ONDEMAND,279.0,13/01/2024
smart-e2,smart-e2-2go-32gb-black,Smartphone Smart E2 2Go 32Go Noir,https://spacenet.tn/smartphone-tunisie/51725-smartphone-smart-e2-2go-32go-noir.html,smart,e2,2go,32gb,black,,spacenet,INSTOCK,279.0,13/01/2024
itel-a60s,itel-a60s-2go-64gb-green,Smartphone Itel A60S 2Go 64Go Vert,https://spacenet.tn/smartphone-tunisie/58281-smartphone-itel-a60s-2go-64go-vert.html,itel,a60s,2go,64gb,green,,spacenet,INSTOCK,279.0,13/01/2024
itel-a60s,itel-a60s-2go-64gb-black,Smartphone Itel A60S 2Go 64Go Noir,https://spacenet.tn/smartphone-tunisie/58279-smartphone-itel-a60s-2go-64go-noir.html,itel,a60s,2go,64gb,black,,spacenet,OUTOFSTOCK,349.0,13/01/2024
nokia-c12,nokia-c12-2go-64gb-blue,Smartphone Nokia C12 2Go 64Go Bleu,https://spacenet.tn/smartphone-tunisie/55728-smartphone-nokia-c12-2go-64go-bleu.html,nokia,c12,2go,64gb,blue,,spacenet,INSTOCK,70.0,13/01/2024
nokia-c12,nokia-c12-2go-64gb-green,Smartphone Nokia C12 2Go 64Go Vert,https://spacenet.tn/smartphone-tunisie/55730-smartphone-nokia-c12-2go-64go-vert.html,nokia,c12,2go,64gb,green,,spacenet,ONDEMAND,279.0,13/01/2024
tecno-pop7,tecno-pop7-2go-64gb-violet,Smartphone Tecno POP 7 2Go 64Go Violet,https://spacenet.tn/smartphone-tunisie/57991-smartphone-tecno-pop-7-2go-64go-violet.html,tecno,pop 7,2go,64gb,violet,,spacenet,ONDEMAND,285.0,13/01/2024
tecno-pop7,tecno-pop7-2go-64gb-blue,Smartphone Tecno POP 7 2Go 64Go Bleu,https://spacenet.tn/smartphone-tunisie/57992-smartphone-tecno-pop-7-2go-64go-bleu.html,tecno,pop 7,2go,64gb,blue,,spacenet,ONDEMAND,285.0,13/01/2024
tecno-pop7,tecno-pop7-2go-64gb-black,Smartphone Tecno POP 7 2Go 64Go Noir,https://spacenet.tn/smartphone-tunisie/57993-smartphone-tecno-pop-7-2go-64go-noir.html,tecno,pop 7,2go,64gb,black,,spacenet,ONDEMAND,289.0,13/01/2024
iku-a23,iku-a23-2go-32gb-blue,Smartphone IKU A23 2Go 32Go Bleu,https://spacenet.tn/smartphone-tunisie/49485-smartphone-iku-a23-2go-32go-bleu.html,iku,a23,2go,32gb,blue,,spacenet,ARRIVING,289.0,13/01/2024
itel-a70,itel-a70-4go-64gb-blue,Smartphone Itel  A70 4Go 64Go Bleu,https://spacenet.tn/smartphone-tunisie/67352-smartphone-itel-a70-4go-64go-bleu.html,itel,a70,4go,64gb,blue,,spacenet,ONDEMAND,299.0,13/01/2024
itel-a70,itel-a70-4go-64gb-black,Smartphone Itel A70 4Go 64Go Noir,https://spacenet.tn/smartphone-tunisie/67351-smartphone-itel-a70-4go-64go-noir.html,itel,a70,4go,64gb,black,,spacenet,ONDEMAND,299.0,13/01/2024
infinix-smart8,infinix-smart8-4go-64gb-green,Smartphone Infinix Smart 8 4Go 64Go Vert,https://spacenet.tn/smartphone-tunisie/68246-smartphone-infinix-smart-8-4go-64go-vert.html,infinix,smart 8,4go,64gb,green,,spacenet,INSTOCK,329.0,13/01/2024
infinix-smart8,infinix-smart8-4go-64gb-gold,Smartphone Infinix Smart 8 4Go 64Go Gold,https://spacenet.tn/smartphone-tunisie/68242-smartphone-infinix-smart-8-4go-64go-gold.html,infinix,smart 8,4go,64gb,gold,,spacenet,INSTOCK,329.0,13/01/2024
infinix-smart8,infinix-smart8-4go-64gb-black,Smartphone Infinix Smart 8 4Go 64Go Noir,https://spacenet.tn/smartphone-tunisie/68247-smartphone-infinix-smart-8-4go-64go-noir.html,infinix,smart 8,4go,64gb,black,,spacenet,INSTOCK,329.0,13/01/2024
