spacenet_scrapy_persist.reference_global,spacenet_scrapy_persist.reference_detail,spacenet_scrapy_persist.ad_title,spacenet_scrapy_persist.ad_url,spacenet_scrapy_persist.marque,spacenet_scrapy_persist.modele,spacenet_scrapy_persist.ram,spacenet_scrapy_persist.stockage,spacenet_scrapy_persist.couleur,spacenet_scrapy_persist.options,spacenet_scrapy_persist.shop,spacenet_scrapy_persist.ad_stocks,spacenet_scrapy_persist.ad_price,spacenet_scrapy_persist.date_scrapy
samsung-galaxys24plus,samsung-galaxys24plus-12go-256gb-violet,Smartphone Samsung Galaxy S24 Plus 12Go 256Go Violet,https://spacenet.tn/smartphone-tunisie/69079-smartphone-samsung-galaxy-s24-plus-12go-256go-violet.html,samsung,galaxy s24 plus,12go,256gb,violet,,spacenet,ONDEMAND,4599.0,28/01/2024
apple-iphone15,apple-iphone15-128gb-green,iPhone 15 128Go Vert,https://spacenet.tn/iphone-tunisie/68365-iphone-15-128go-vert.html,apple,iphone 15,,128gb,green,,spacenet,INSTOCK,4629.0,28/01/2024
apple-iphone15,apple-iphone15-128gb-blue,iPhone 15 128Go Bleu,https://spacenet.tn/iphone-tunisie/68166-iphone-15-128go-bleu.html,apple,iphone 15,,128gb,blue,,spacenet,INSTOCK,4629.0,28/01/2024
apple-iphone15,apple-iphone15-128gb-black,iPhone 15 128Go Noir,https://spacenet.tn/iphone-tunisie/68353-iphone-15-128go-noir.html,apple,iphone 15,,128gb,black,,spacenet,INSTOCK,4629.0,28/01/2024
apple-iphone13promax,apple-iphone13promax-128gb-graphite,iPhone 13 Pro Max 128Go Graphite,https://spacenet.tn/iphone-tunisie/46000-iphone-13-pro-max-128go-graphite.html,apple,iphone 13 pro max,,128gb,graphite,,spacenet,ONDEMAND,4799.0,28/01/2024
apple-iphone13promax,apple-iphone13promax-128gb-gold,iPhone 13 Pro Max 128Go Gold,https://spacenet.tn/iphone-tunisie/50458-iphone-13-pro-max-128go-gold.html,apple,iphone 13 pro max,,128gb,gold,,spacenet,ONDEMAND,4799.0,28/01/2024
apple-iphone14promax,apple-iphone14promax-128gb-violet,iPhone 14 Pro Max 128Go Violet,https://spacenet.tn/iphone-tunisie/51949-iphone-14-pro-max-128go-violet.html,apple,iphone 14 pro max,,128gb,violet,,spacenet,ARRIVING,5899.0,28/01/2024
apple-iphone14promax,apple-iphone14promax-128gb-black,iPhone 14 Pro Max 128Go Noir,https://spacenet.tn/iphone-tunisie/57435-iphone-14-pro-max-128go-noir.html,apple,iphone 14 pro max,,128gb,black,,spacenet,INSTOCK,900.0,28/01/2024
apple-iphone14promax,apple-iphone14promax-128gb-gold,iPhone 14 Pro Max 128Go Gold,https://spacenet.tn/iphone-tunisie/54454-iphone-14-pro-max-128go-gold.html,apple,iphone 14 pro max,,128gb,gold,,spacenet,ONDEMAND,4999.0,28/01/2024
apple-iphone14promax,apple-iphone14promax-128gb-silver,iPhone 14 Pro Max 128Go Silver,https://spacenet.tn/iphone-tunisie/52332-iphone-14-pro-max-128go-silver.html,apple,iphone 14 pro max,,128gb,silver,,spacenet,ARRIVING,5899.0,28/01/2024
apple-iphone15,apple-iphone15-256gb-blue,iPhone 15 256Go Bleu,https://spacenet.tn/iphone-tunisie/68366-iphone-15-256go-bleu.html,apple,iphone 15,,256gb,blue,,spacenet,INSTOCK,900.0,28/01/2024
apple-iphone14promax,apple-iphone14promax-256gb-gold,iPhone 14 Pro Max 256Go Gold,https://spacenet.tn/iphone-tunisie/55783-iphone-14-pro-max-256go-gold.html,apple,iphone 14 pro max,,256gb,gold,,spacenet,ARRIVING,4999.0,28/01/2024
apple-iphone14promax,apple-iphone14promax-256gb-silver,iPhone 14 Pro Max 256Go Silver,https://spacenet.tn/iphone-tunisie/52330-iphone-14-pro-max-256go-silver.html,apple,iphone 14 pro max,,256gb,silver,,spacenet,ONDEMAND,5899.0,28/01/2024
apple-iphone14promax,apple-iphone14promax-256gb-violet,iPhone 14 Pro Max 256Go Violet,https://spacenet.tn/iphone-tunisie/57431-iphone-14-pro-max-256go-violet.html,apple,iphone 14 pro max,,256gb,violet,,spacenet,ONDEMAND,900.0,28/01/2024
apple-iphone14promax,apple-iphone14promax-256gb-black,iPhone 14 Pro Max 256Go Noir,https://spacenet.tn/iphone-tunisie/53744-iphone-14-pro-max-256go-noir.html,apple,iphone 14 pro max,,256gb,black,,spacenet,ONDEMAND,4999.0,28/01/2024
